,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,7,14,マテンロウルビー,牝4,51,今村聖奈,1:44.0,,2.8,1,450(+4),[西] 野中賢二
1,2,4,7,レヴィーアクイーン,牝4,55,酒井学,1:44.1,1/2,34.2,10,478(0),[西] 笹田和秀
2,3,3,6,ヒロノクイーン,牝4,55,国分恭介,1:44.4,1.3/4,27.0,8,470(+6),[西] 寺島良
3,4,8,15,ジェニーアムレット,牝4,55,西村淳也,1:45.1,4,19.8,6,462(+6),[西] 池添学
4,5,7,13,ビーストアタック,牝3,52,北村友一,1:45.5,2,7.6,4,458(-6),[西] 安田隆行
5,6,1,1,フライングバレル,牝4,55,富田暁,1:45.9,2.1/2,219.2,16,470(+2),[西] 安田隆行
6,7,2,4,サヨノトレイダー,牝3,50,小沢大仁,1:46.0,3/4,21.0,7,428(0),[西] 松永昌博
7,8,2,3,スマートムーラン,牝3,52,秋山真一,1:46.0,ハナ,6.1,3,450(-2),[西] 大久保龍
8,9,8,16,リゴレット,牝3,52,松若風馬,1:46.1,1/2,7.6,5,420(-6),[西] 羽月友彦
9,10,6,11,アキュートガール,牝3,52,団野大成,1:46.4,1.3/4,107.3,15,466(+14),[西] 高橋義忠
10,11,3,5,ヴィルチュオーズ,牝3,52,藤岡康太,1:46.9,3,55.5,11,428(+6),[西] 武幸四郎
11,12,6,12,カレンラファータ,牝3,52,松山弘平,1:47.0,クビ,5.0,2,444(+24),[西] 鈴木孝志
12,13,5,9,バーグチャン,牝3,49,永島まな,1:47.2,1.1/4,66.3,13,418(+12),[西] 杉山佳明
13,14,1,2,リツィタル,牝4,52,角田大河,1:47.3,1/2,65.0,12,398(-2),[西] 牧田和弥
14,15,4,8,エグモント,牝3,52,田中健,1:47.8,3,32.6,9,510(-4),[西] 中村直也
15,16,5,10,タガノミア,牝3,52,幸英明,1:48.1,1.3/4,72.3,14,454(+2),[西] 河内洋
