,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,4,4,バルサムノート,牡2,54,ホー,1:49.6,,3.2,1,488(0),[西] 高野友和
1,2,8,12,ヴェルテンベルク,牡2,54,西村淳也,1:49.7,1/2,6.6,4,482(0),[西] 宮本博
2,3,6,8,コウエイダイヤ,牝2,54,藤岡康太,1:50.0,1.3/4,5.9,2,498(0),[西] 新谷功一
3,4,3,3,ゴッドブルービー,牡2,51,角田大河,1:50.0,クビ,41.4,9,452(0),[西] 角田晃一
4,5,8,13,ライジングラパス,牝2,54,国分恭介,1:50.1,1/2,24.3,8,430(0),[西] 宮本博
5,6,2,2,タイガースパーク,牡2,54,幸英明,1:50.6,3,59.0,11,436(0),[西] 大橋勇樹
6,7,5,7,メイショウイッシン,牡2,50,今村聖奈,1:50.7,1/2,6.4,3,426(0),[西] 藤原英昭
7,8,7,11,ドナビスケット,牝2,54,団野大成,1:51.1,2.1/2,52.2,10,422(0),[西] 牧浦充徳
8,9,7,10,クロスジー,牡2,54,富田暁,1:51.1,ハナ,10.0,6,522(0),[西] 長谷川浩
9,10,1,1,スパーキングブルー,牡2,54,松山弘平,1:51.4,2,14.8,7,504(0),[西] 牧田和弥
10,11,4,5,ミルキーシャワー,牝2,54,川須栄彦,1:51.6,1.1/4,175.6,13,418(0),[西] 羽月友彦
11,12,5,6,レミージュ,牝2,54,横山典弘,1:51.7,3/4,7.7,5,432(0),[西] 松永幹夫
12,13,6,9,メイショウライジン,牡2,54,荻野極,1:56.6,大,82.8,12,482(0),[西] 荒川義之
