,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,8,10,トーアライデン,牡2,54,中井裕二,1:50.6,,165.3,11,474(0),[西] 村山明
1,2,6,7,アウローラシエル,牡2,54,西村淳也,1:50.6,クビ,13.1,5,474(0),[西] 森田直行
2,3,6,6,メイショウポペット,牝2,51,角田大河,1:50.7,クビ,7.6,3,486(0),[西] 角田晃一
3,4,2,2,パンデアスカル,牡2,54,福永祐一,1:50.9,1.1/2,9.2,4,500(0),[西] 高野友和
4,5,4,4,ポワンキュルミナン,牡2,54,秋山真一,1:51.4,3,27.8,7,424(0),[西] 岡田稲男
5,6,7,9,リグレイアー,牝2,53,亀田温心,1:51.5,クビ,27.8,8,472(0),[西] 北出成人
6,7,5,5,グランデスフィーダ,牡2,54,松山弘平,1:51.9,2.1/2,2.1,1,516(0),[西] 池江泰寿
7,8,1,1,アンクルブラック,牡2,54,坂井瑠星,1:52.3,2.1/2,46.7,9,474(0),[西] 高橋亮
8,9,7,8,ドウフォルス,牡2,54,武豊,1:52.5,1,3.7,2,488(0),[西] 友道康夫
9,10,8,11,アズマサクラエモン,牡2,50,今村聖奈,1:53.0,3,27.3,6,528(0),[西] 加用正
10,11,3,3,ウインジュルネ,牡2,53,小沢大仁,1:57.1,大,84.5,10,418(0),[西] 宮本博
