,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,8,13,サエールフェイス,牝3,52,団野大成,0:57.9,,3.7,1,466(0),[西] 石橋守
1,2,3,4,ミロワール,牝3,52,松山弘平,0:58.0,1/2,6.0,4,438(+2),[西] 池添学
2,3,3,3,ゴーウィズフェイス,牝3,52,富田暁,0:58.2,1.1/4,7.3,5,472(0),[西] 長谷川浩
3,4,4,5,モズマンジロウ,セ4,57,松若風馬,0:58.4,1.1/4,22.1,7,440(+4),[西] 小崎憲
4,5,2,2,ユウグロスファクタ,牝3,52,西村淳也,0:58.5,3/4,5.2,3,494(-4),[西] 新谷功一
5,6,5,7,ナツイロノオトメ,牝3,50,松本大輝,0:59.0,3,4.4,2,480(+8),[西] 角田晃一
6,7,6,10,セイウンノウヒメ,牝4,55,ホー,0:59.1,1/2,43.7,10,470(+4),[西] 新谷功一
7,8,4,6,トレッファー,牝5,55,荻野極,0:59.2,クビ,91.7,12,442(+2),[西] 本田優
8,9,5,8,メイショウデージー,牝4,52,川端海翼,0:59.5,1.3/4,165.3,14,482(0),[西] 松永昌博
9,10,8,14,ベゼドランジュ,牝4,54,亀田温心,1:00.0,3,144.4,13,508(+16),[西] 今野貞一
10,11,7,11,レベルタウン,牡4,54,角田大河,1:00.1,1,11.1,6,518(+2),[西] 石橋守
11,12,1,1,サイモンカーチス,牡3,54,川須栄彦,1:00.4,1.3/4,46.2,11,472(+4),[西] 梅田智之
12,13,6,9,ミエノベルル,牡4,53,永島まな,1:00.5,クビ,30.6,8,446(+4),[西] 高橋亮
13,14,7,12,グッドステージ,牡5,53,今村聖奈,1:01.1,3.1/2,31.8,9,526(+10),[西] 宮徹
