,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,3,5,ゴッドブルービー,牡2,51,角田大河,1:45.8,,4.8,4,452(0),[西] 角田晃一
1,2,6,11,メイクザビート,牡2,54,和田竜二,1:46.7,5,3.8,1,490(-6),[西] 西園正都
2,3,4,8,デルマソトガケ,牡2,54,松若風馬,1:47.0,2,3.9,2,490(0),[西] 音無秀孝
3,4,2,4,フェルヴェンテ,牡2,52,山田敬士,1:47.5,3,39.2,8,464(+12),[西] 加用正
4,5,1,1,シゲルスナイパー,牡2,50,永島まな,1:47.9,2.1/2,26.5,7,506(-20),[西] 谷潔
5,6,6,12,スペキオサレジーナ,牝2,54,坂井瑠星,1:48.0,1/2,14.0,5,464(+4),[西] 安田隆行
6,7,1,2,クロニオス,牡2,54,北村友一,1:48.3,2,14.9,6,516(-4),[西] 西村真幸
7,8,7,14,テイエムポピー,牝2,52,松本大輝,1:48.7,2.1/2,333.2,14,418(-10),[西] 五十嵐忠
8,9,7,13,イロゴノミ,牡2,54,団野大成,1:48.7,アタマ,361.9,16,450(+2),[西] 牧田和弥
9,10,8,16,ゴライコウ,牡2,50,今村聖奈,1:49.0,1.1/2,4.5,3,494(-6),[西] 新谷功一
10,11,2,3,ディープマインド,牡2,53,亀田温心,1:49.2,1.1/4,69.2,9,522(-8),[西] 本田優
11,12,5,9,メイショウカジキ,牡2,51,川端海翼,1:49.2,クビ,336.9,15,454(+6),[西] 梅田智之
12,13,4,7,レヴィアタン,牡2,54,川須栄彦,1:49.4,1.1/4,89.0,10,472(+2),[西] 梅田智之
13,14,5,10,ヨドノストロング,牡2,54,国分優作,1:50.8,8,114.0,11,460(+4),[西] 大根田裕
14,15,8,15,アートペッパー,牡2,51,服部寿希,1:51.4,3.1/2,255.4,13,494(+2),[西] 森秀行
15,16,3,6,アナザーエース,牡2,54,鮫島良太,1:52.3,5,172.2,12,490(+14),[西] 宮徹
