,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,2,2,エルメニア,牝3,52,小沢大仁,0:58.1,,28.0,7,438(-6),[西] 吉田直弘
1,2,7,11,テイエムキバイモン,牡3,56,国分恭介,0:58.3,1.1/4,4.4,3,482(+10),[西] 五十嵐忠
2,3,6,8,レッドアクトゥール,牡3,56,川田将雅,0:58.8,3,2.1,1,446(-8),[西] 須貝尚介
3,4,6,9,シックザイン,牡3,56,幸英明,0:58.8,ハナ,27.6,6,460(+2),[西] 角田晃一
4,5,5,6,キャンドルベリー,牝3,54,藤岡康太,0:58.8,クビ,9.0,4,432(-6),[西] 辻野泰之
5,6,4,5,キクノヴェール,牡3,55,亀田温心,0:59.0,1.1/2,85.0,10,454(+18),[西] 北出成人
6,7,7,10,ウイングブラボー,牡3,53,服部寿希,0:59.2,1.1/4,85.3,11,444(0),[西] 服部利之
7,8,8,13,エルドラゴ,セ3,56,富田暁,0:59.2,アタマ,39.8,9,458(-4),[西] 安田隆行
8,9,3,3,ルクスマイティー,牝3,51,角田大河,0:59.5,1.3/4,16.7,5,440(+4),[西] 石橋守
9,10,8,12,コパノリンダ,牝3,50,今村聖奈,0:59.6,クビ,4.4,2,446(+4),[西] 梅田智之
10,11,5,7,サンドスピリット,牡3,56,西村淳也,0:59.6,クビ,93.4,12,456(-4),[西] 浜田多実
11,12,1,1,アンディナイアブル,牡3,52,永島まな,1:00.2,3.1/2,33.8,8,502(-2),[西] 安田翔伍
12,13,4,4,スーサンシーヴァー,セ3,56,小牧太,1:01.1,5,190.5,13,462(+6),[西] 笹田和秀
