,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,5,10,ハギノロックオン,牡3,56,西村淳也,1:45.7,,9.2,3,500(0),[西] 高野友和
1,2,7,13,ワンダーブレット,セ3,56,小牧太,1:45.8,1/2,13.0,6,492(-5),[西] 笹田和秀
2,3,3,6,ヒノデテイオー,牡3,56,幸英明,1:46.7,5,9.4,5,444(+2),[西] 河内洋
3,4,6,12,タイセイストラーダ,牡3,56,国分恭介,1:46.8,クビ,20.4,8,478(-6),[西] 牧浦充徳
4,5,6,11,コンジャンクション,牡3,56,鮫島克駿,1:46.8,ハナ,2.9,1,488(+2),[西] 池添学
5,6,8,15,ベイパーコーン,牡3,54,松本大輝,1:47.2,2.1/2,17.7,7,462(-8),[西] 鈴木孝志
6,7,1,2,メイショウヨウホウ,牡3,55,小沢大仁,1:47.7,3,328.7,16,438(-8),[西] 松永昌博
7,8,2,4,ワンダークエーサー,牡3,52,永島まな,1:47.7,クビ,237.2,15,426(-2),[西] 渡辺薫彦
8,9,8,16,ブラックサウザー,牡3,52,今村聖奈,1:48.1,2.1/2,3.2,2,428(0),[西] 大根田裕
9,10,1,1,タイキモンストル,牡3,56,酒井学,1:48.2,クビ,9.3,4,488(+4),[西] 西園正都
10,11,4,8,ワンダークレイモア,牡3,56,藤懸貴志,1:48.3,3/4,34.7,9,464(-8),[西] 杉山晴紀
11,12,2,3,ドクトゥルネモト,牡3,56,竹之下智,1:48.7,2,90.6,12,536(+8),[西] 千田輝彦
12,13,5,9,ツヴァイシュテルネ,牡3,56,秋山真一,1:48.9,1.1/4,101.0,13,486(-8),[西] 武幸四郎
13,14,3,5,コスモパサージュ,牡3,56,国分優作,1:49.9,6,43.8,10,498(-9),[西] 宮徹
14,15,4,7,レーヴェン,牡3,56,太宰啓介,1:50.6,4,233.4,14,482(0),[西] 昆貢
15,16,7,14,オータムソング,牡3,56,団野大成,1:55.3,大,69.3,11,468(-2),[西] 四位洋文
