,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,7,15,チェルノボーグ,牡3,56,鮫島克駿,2:00.0,,1.7,1,486(-2),[西] 藤原英昭
1,2,6,12,クリオミニーズ,牡3,56,藤岡康太,2:00.1,クビ,12.7,5,484(+2),[西] 藤岡健一
2,3,7,14,アパショナード,牡3,56,富田暁,2:00.2,1/2,38.8,9,426(+6),[西] 千田輝彦
3,4,2,3,セルリアンルネッタ,牡3,56,酒井学,2:00.5,2,294.5,16,452(-4),[西] 高橋康之
4,5,4,7,サンライズルーチェ,牡3,55,小沢大仁,2:00.8,1.3/4,80.5,12,512(+4),[西] 河内洋
5,6,4,8,ロードランヴェルセ,牡3,56,和田竜二,2:01.0,1.1/2,11.7,4,476(-6),[西] 坂口智康
6,7,5,9,サイラス,牡3,56,幸英明,2:01.1,クビ,28.6,8,518(0),[西] 松永幹夫
7,8,8,18,パーラーギター,牝3,54,西村淳也,2:01.1,アタマ,23.7,7,438(-2),[西] 高野友和
8,9,3,5,アイスソード,牡3,53,角田大河,2:01.2,3/4,138.8,14,454(+8),[西] 吉村圭司
9,10,1,1,ギルトレターズ,牡3,56,松若風馬,2:01.3,クビ,7.8,3,470(-8),[西] 安達昭夫
10,11,5,10,アオイアルファワン,牡3,56,川須栄彦,2:01.4,1/2,72.9,11,444(-4),[西] 矢作芳人
11,12,3,6,ルールザウイングス,牝3,50,今村聖奈,2:01.4,クビ,49.9,10,476(-10),[西] 宮徹
12,13,6,11,スズカモービル,牡3,56,森裕太朗,2:01.4,ハナ,89.4,13,452(0),[西] 橋田満
13,14,1,2,マリーナドンナ,牝3,54,北村友一,2:01.5,クビ,6.5,2,438(-4),[西] 安田隆行
14,15,7,13,シゲルプレミアム,牡3,55,亀田温心,2:01.7,1.1/4,443.5,18,468(+10),[西] 飯田祐史
15,16,2,4,スカーレットオーラ,牝3,54,藤岡佑介,2:01.7,アタマ,18.7,6,448(0),[西] 中内田充
16,17,8,17,クレスコペガサス,牡3,56,鮫島良太,2:02.3,3.1/2,374.1,17,426(-8),[西] 飯田雄三
17,18,8,16,マテンロウモナーク,牡3,56,太宰啓介,2:02.5,1.1/2,180.1,15,540(0),[西] 昆貢
