,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,8,15,テイエムシップ,牡3,56,幸英明,1:47.1,,4.0,2,512(-2),[西] 飯田雄三
1,2,3,6,ドンシャーク,牡3,55,小沢大仁,1:47.2,クビ,3.6,1,490(-2),[西] 今野貞一
2,3,7,13,サハラ,牡3,56,西村淳也,1:47.7,3,5.6,4,484(-4),[西] 杉山晴紀
3,4,3,5,ラウドスピリッツ,牡3,56,松若風馬,1:47.9,1,4.7,3,494(-4),[西] 橋口慎介
4,5,8,16,グローレジェンド,牡3,56,藤岡康太,1:47.9,クビ,19.2,7,524(+4),[西] 矢作芳人
5,6,1,2,テーオーパルフェ,牡3,56,加藤祥太,1:48.2,1.3/4,84.1,11,516(+2),[西] 梅田智之
6,7,6,11,サダムパッション,牡3,56,藤懸貴志,1:48.3,1/2,571.3,16,498(-4),[西] 平田修
7,8,5,10,オーウェンバローズ,牡3,52,今村聖奈,1:48.5,3/4,17.2,6,460(+12),[西] 辻野泰之
8,9,2,3,スマートキングダム,牡3,56,荻野極,1:48.5,クビ,9.2,5,500(-4),[西] 池江泰寿
9,10,6,12,リリーアロー,牡3,56,富田暁,1:48.5,アタマ,21.7,8,494(+2),[西] 池添兼雄
10,11,4,7,ニホンピロペリー,牡3,52,永島まな,1:48.7,1.1/4,39.9,9,486(+10),[西] 服部利之
11,12,5,9,マルトドラゴン,セ3,55,亀田温心,1:48.9,1.1/4,74.4,10,466(-4),[西] 渡辺薫彦
12,13,4,8,ワンダートリガー,牡3,56,中井裕二,1:49.2,1.3/4,321.2,14,488(+12),[西] 斉藤崇史
13,14,1,1,フタイテン,牡3,56,川須栄彦,1:49.5,2,90.8,12,556(+4),[西] 杉山晴紀
14,15,7,14,ブレットアーチ,牡3,56,鮫島克駿,1:49.6,クビ,262.4,13,468(+8),[西] 松下武士
15,16,2,4,シゲルカーフレイズ,牡3,56,国分優作,1:51.8,大,469.7,15,494(-4),[西] 五十嵐忠
