,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,8,12,ニンギルス,牡5,60,難波剛健,3:09.0,,2.7,1,450(-4),[西] 鈴木孝志
1,2,7,9,ハイオソラール,牡6,60,北沢伸也,3:09.4,2.1/2,27.4,9,520(-2),[西] 木原一良
2,3,2,2,シゲルキンセイ,牡5,57,小牧加矢,3:09.7,2,12.0,5,488(+2),[西] 五十嵐忠
3,4,1,1,ホウオウアクセル,牡6,60,西谷誠,3:10.5,5,25.8,8,442(-2),[西] 宮徹
4,5,6,7,プロース,牡6,60,石神深一,3:10.5,クビ,3.2,2,522(+8),[東] 菊川正達
5,6,5,6,フィアレスハート,セ5,60,上野翔,3:10.5,クビ,19.4,7,486(-4),[東] 小手川準
6,7,6,8,ウインガヴァナー,牡4,60,平沢健治,3:10.7,3/4,15.8,6,504(0),[西] 西園正都
7,8,3,3,スズカブランコ,牡6,60,大庭和弥,3:12.2,9,10.3,4,474(+8),[東] 堀内岳志
8,9,7,10,オノーレペスカ,牝6,58,大江原圭,3:12.5,2,30.3,10,444(-4),[東] 小桧山悟
9,10,5,5,タマモサンシーロ,牡6,60,中村将之,3:13.1,3.1/2,6.0,3,524(+14),[西] 大橋勇樹
10,11,8,11,エムズジャガー,牡3,58,白浜雄造,3:19.1,大,167.8,12,480(+2),[西] 北出成人
11,12,4,4,オオゾラ,牡6,60,田村太雅,3:19.5,2.1/2,87.3,11,556(+10),[西] 杉山佳明
