,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,7,14,ヒロノシュン,セ3,54,和田竜二,1:44.0,,2.9,1,492(+4),[西] 川村禎彦
1,2,6,11,タイキドミニオン,牡4,57,松若風馬,1:44.1,1/2,7.6,3,520(-6),[西] 高野友和
2,3,3,6,ニホンピロハーバー,牡4,57,団野大成,1:44.4,2,11.4,5,496(+2),[西] 安達昭夫
3,4,8,15,タガノクリステル,牝3,52,松山弘平,1:44.5,クビ,3.2,2,474(-2),[西] 長谷川浩
4,5,5,9,バライロノキセキ,牝4,55,富田暁,1:44.6,1/2,106.8,15,486(+8),[西] 中竹和也
5,6,2,3,キョウワウォール,牡6,57,中井裕二,1:44.7,1/2,12.1,6,468(-12),[西] 飯田雄三
6,7,4,7,シゲルヒカルダイヤ,牡6,57,坂井瑠星,1:44.8,1/2,86.0,13,524(-2),[西] 橋田満
7,8,6,12,メイショウハナモモ,牝4,55,小沢大仁,1:44.8,クビ,65.2,11,464(-6),[西] 松永昌博
8,9,8,16,ゼンノミチザネ,牡4,57,秋山真一,1:44.9,クビ,15.6,7,454(0),[西] 武幸四郎
9,10,5,10,プラチナドリーム,牡3,54,北村友一,1:45.5,4,9.1,4,446(-8),[西] 平田修
10,11,4,8,ジューンクエスト,牡4,57,西村淳也,1:45.6,1/2,75.0,12,458(-2),[西] 今野貞一
11,12,3,5,テーオーポシブル,セ6,57,酒井学,1:46.0,2,54.3,10,456(-2),[西] 梅田智之
12,13,1,1,ダイヤレイジング,牝6,55,藤懸貴志,1:46.0,アタマ,94.4,14,478(+6),[西] 小崎憲
13,14,7,13,スズカマクフィ,牝4,55,荻野極,1:46.3,1.3/4,33.5,8,436(-8),[西] 橋田満
14,15,1,2,ジロー,牡5,57,今村聖奈,1:47.6,8,46.2,9,478(0),[西] 岡田稲男
15,中,2,4,フェブタイズ,牡6,57,松本大輝,,,174.6,16,506(-4),[西] 川村禎彦
