,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,7,8,デュードヴァン,牡5,56,北村友一,1:44.9,,7.3,4,462(-10),[西] 池添学
1,2,7,9,アッシェンプッテル,牝6,54,幸英明,1:45.1,1,29.5,7,510(+2),[西] 奥村豊
2,3,6,6,アンセッドヴァウ,セ5,56,団野大成,1:45.5,2.1/2,14.0,6,464(-4),[西] 中竹和也
3,4,1,1,ミステリオーソ,牡5,56,藤岡康太,1:45.5,クビ,5.2,3,478(-8),[西] 武幸四郎
4,5,4,4,サンライズラポール,牡5,56,西村淳也,1:45.6,クビ,3.2,2,518(0),[西] 平田修
5,6,8,10,キョウヘイ,牡8,56,国分優作,1:45.7,1/2,73.8,9,446(0),[西] 宮本博
6,7,8,11,エマージングロール,牡4,56,松山弘平,1:46.0,1.3/4,2.9,1,502(+4),[西] 橋口慎介
7,8,6,7,スナークスター,セ6,56,中井裕二,1:46.1,3/4,247.5,11,464(+4),[西] 川村禎彦
8,9,5,5,エイコーン,牡7,56,高倉稜,1:46.5,2,47.9,8,460(-4),[西] 吉田直弘
9,10,3,3,ダノンテイオー,牡6,56,和田竜二,1:46.8,2,82.4,10,478(+4),[西] 大久保龍
10,11,2,2,ダノングリスター,セ6,56,今村聖奈,1:47.4,3.1/2,8.2,5,490(-6),[西] 寺島良
