,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,6,11,モディカ,牝3,50,松本大輝,1:43.5,,5.1,3,482(+6),[西] 石坂公一
1,2,5,10,アダマスミノル,牡3,56,藤岡康太,1:45.8,大,5.1,2,484(0),[西] 北出成人
2,3,3,6,タイキモンストル,牡3,56,酒井学,1:45.8,クビ,94.8,11,484(-2),[西] 西園正都
3,4,1,1,サハラ,牡3,56,川田将雅,1:46.1,1.3/4,3.1,1,488(0),[西] 杉山晴紀
4,5,5,9,ナリタイチモンジ,牡3,56,富田暁,1:47.0,5,12.2,7,482(-12),[西] 木原一良
5,6,3,5,シエロフェイス,牡3,56,ホー,1:47.0,アタマ,7.8,5,426(-4),[西] 矢作芳人
6,7,2,3,ゲイボルグ,牡3,56,和田竜二,1:47.7,4,48.0,9,510(+16),[西] 平田修
7,8,2,4,ヒロノアステロイド,牡3,56,幸英明,1:48.5,5,36.8,8,564(+2),[西] 梅田智之
8,9,7,13,イーサンアイ,牡3,56,太宰啓介,1:49.3,5,51.9,10,454(+6),[西] 昆貢
9,10,1,2,インブレッドセンス,牡3,52,今村聖奈,1:50.0,4,7.2,4,462(-4),[西] 音無秀孝
10,11,4,8,シナモンベアー,牝3,51,角田大河,1:50.1,クビ,197.5,14,486(0),[西] 角田晃一
11,12,4,7,ラスターサンライズ,牝3,54,加藤祥太,1:51.2,7,451.6,16,432(+12),[西] 庄野靖志
12,13,8,15,グルアガッハ,牡3,56,北村友一,1:51.5,2,10.7,6,500(+5),[西] 音無秀孝
13,14,8,16,メイショウモヒート,牡3,56,田中健,1:51.5,ハナ,177.2,13,492(-2),[西] 渡辺薫彦
14,15,6,12,バトルシャイニング,牡3,56,国分恭介,1:51.6,1/2,124.7,12,496(0),[西] 本田優
15,16,7,14,アマノカイザー,牡3,56,国分優作,1:51.9,1.1/2,257.5,15,450(-12),[西] 藤沢則雄
