,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,3,3,ワンダーカタリナ,牡5,57,松若風馬,1:07.9,,11.2,7,514(+4),[西] 河内洋
1,2,6,6,フィルムスコア,牝4,55,藤懸貴志,1:07.9,ハナ,7.6,5,458(+4),[西] 平田修
2,3,7,8,ソルトキャピタル,牡5,57,太宰啓介,1:08.0,3/4,5.0,3,526(+2),[西] 武英智
3,4,8,11,デルマヤクシ,牡4,57,酒井学,1:08.1,クビ,9.9,6,462(+6),[西] 田中克典
4,5,6,7,シーズザデイ,牡3,54,富田暁,1:08.2,クビ,5.7,4,502(+4),[西] 川村禎彦
5,6,5,5,ファタリテ,牡6,57,国分優作,1:08.3,3/4,80.0,11,452(+6),[西] 大根田裕
6,7,1,1,サイモンカーチス,牡3,50,永島まな,1:08.5,1.1/4,40.2,10,472(0),[西] 梅田智之
7,8,8,10,インペリアス,牝3,50,松本大輝,1:08.8,2,25.4,8,444(-2),[西] 中村直也
8,9,4,4,ロードラスター,牡4,57,川須栄彦,1:08.9,1/2,4.6,2,516(+20),[西] 千田輝彦
9,10,2,2,パー,牝3,49,今村聖奈,1:11.3,大,4.2,1,468(-9),[地] 松浦聡志
10,11,7,9,サンライズシューズ,牝4,54,小沢大仁,1:12.2,5,35.5,9,464(+4),[西] 牧浦充徳
