,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,4,7,テイエムファクター,牡3,54,富田暁,1:45.6,,1.5,1,462(0),[西] 木原一良
1,2,1,2,ウインアウォード,牡3,54,松若風馬,1:45.7,クビ,18.6,6,508(0),[西] 杉山晴紀
2,3,1,1,ワンダフルトゥデイ,牡3,54,幸英明,1:45.9,1.1/2,7.1,2,504(+2),[西] 中尾秀正
3,4,5,10,ベルドラゴ,牡3,54,加藤祥太,1:46.1,3/4,27.9,8,472(-2),[西] 庄野靖志
4,5,4,8,クロンヌドラレーヌ,牝3,49,今村聖奈,1:46.6,3,41.8,10,422(-2),[西] 高橋義忠
5,6,6,11,ナムラダイゴロー,牡3,54,城戸義政,1:46.7,3/4,35.9,9,458(+4),[西] 荒川義之
6,7,6,12,ビナホイアン,牡3,52,松本大輝,1:47.0,1.3/4,9.8,3,444(0),[西] 杉山佳明
7,8,7,13,フラップシグナス,牡3,54,和田竜二,1:47.4,2.1/2,14.4,4,482(0),[西] 千田輝彦
8,9,2,3,ケイアイメビウス,牡3,54,藤懸貴志,1:47.4,アタマ,21.9,7,508(+4),[西] 村山明
9,10,3,5,トランキリテ,牡3,54,鮫島克駿,1:47.5,1,15.3,5,456(-6),[西] 松永幹夫
10,11,3,6,バンボーレ,牝4,52,角田大河,1:47.6,クビ,123.0,13,450(-21),[西] 飯田祐史
11,12,8,15,セイバートゥース,セ3,54,藤岡康太,1:47.7,1/2,50.6,11,442(-3),[西] 野中賢二
12,13,2,4,クレスケンスルーナ,牝3,52,高倉稜,1:47.9,1.1/4,90.4,12,468(0),[西] 吉田直弘
13,14,8,16,ノーブルキャニオン,牡4,57,鮫島良太,1:47.9,クビ,345.0,16,480(+2),[西] 牧浦充徳
14,15,5,9,バンドールロゼ,牡3,53,小沢大仁,1:48.4,3,233.2,14,462(0),[西] 松永昌博
15,16,7,14,ヴェラート,セ4,57,秋山真一,1:48.4,クビ,246.8,15,494(-2),[西] 大根田裕
