,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,3,4,テイエムフェロー,牡3,56,和田竜二,0:59.4,,1.6,1,488(0),[西] 飯田雄三
1,2,8,14,デルマシルフ,牝3,50,今村聖奈,0:59.5,1/2,3.9,2,464(+6),[西] 畑端省吾
2,3,3,3,リアルファンタジア,牝3,52,松本大輝,0:59.9,2.1/2,204.6,13,452(+12),[西] 牧浦充徳
3,4,5,7,ロワドゥサーブル,牡3,56,幸英明,1:00.0,1/2,8.0,3,470(-12),[西] 高橋康之
4,5,7,12,デジタイゼーション,牝3,53,亀田温心,1:00.3,1.3/4,203.4,12,490(+15),[西] 藤沢則雄
5,6,4,6,サウンドヴァージル,牡3,56,西村淳也,1:00.3,クビ,25.6,6,492(+2),[西] 安達昭夫
6,7,2,2,ハクサンチェイス,牡3,56,藤懸貴志,1:00.6,1.3/4,8.8,4,464(-2),[西] 小崎憲
7,8,1,1,マルノアンナ,牝3,51,川端海翼,1:00.7,クビ,151.7,11,412(0),[西] 羽月友彦
8,9,6,10,サンライズモストロ,牡3,55,小沢大仁,1:00.9,1.1/4,97.3,7,494(+2),[西] 羽月友彦
9,10,5,8,イレギュラー,牡3,56,田中健,1:01.2,1.3/4,101.5,8,436(-4),[西] 北出成人
10,11,6,9,ヒーセドシーセド,牝3,51,角田大河,1:01.7,3,151.1,10,526(-6),[西] 坂口智康
11,12,8,13,メイショウホオベニ,牝3,54,城戸義政,1:01.9,1.1/2,241.3,14,440(-2),[西] 荒川義之
12,13,4,5,ドリーム,牝3,50,永島まな,1:02.3,2.1/2,23.9,5,434(-4),[西] 高橋康之
13,14,7,11,レッドマグノリア,牡3,56,鮫島克駿,1:02.6,1.3/4,116.4,9,496(-6),[西] 寺島良
