,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,7,8,イプノーズ,牝3,49,今村聖奈,0:58.2,,2.8,2.0,450(+8),[西] 大久保龍
1,2,3,3,ミロワール,牝3,53,松山弘平,0:58.4,3/4,1.8,1.0,434(-4),[西] 池添学
2,3,6,6,ナサ,牝4,54,亀田温心,0:58.5,3/4,12.8,4.0,464(+10),[西] 藤沢則雄
3,4,2,2,サイモンルピナス,牝4,55,酒井学,0:58.6,1/2,19.8,5.0,438(+2),[西] 羽月友彦
4,5,5,5,グッドウッドガイ,牡3,55,中井裕二,0:58.8,1.1/4,23.7,7.0,504(+8),[西] 村山明
5,6,6,7,メイショウアゴニカ,牝5,52,角田大河,0:58.9,1/2,47.7,8.0,490(-14),[西] 河内洋
6,7,4,4,スリードレフォン,牡3,55,富田暁,0:58.9,クビ,10.0,3.0,512(+8),[西] 木原一良
7,8,8,11,ザモウコダマシイ,牝4,55,藤懸貴志,0:59.0,クビ,21.1,6.0,450(+6),[西] 坂口智康
8,9,8,10,ディープギルドン,牡3,51,永島まな,0:59.4,2.1/2,117.3,9.0,522(+4),[西] 本田優
9,10,1,1,エイブルマン,牡3,54,小沢大仁,1:00.5,7,161.4,10.0,452(+2),[西] 森田直行
10,除,7,9,プレヴォール,牡3,55,坂井瑠星,,,---,,458(-6),[西] 中村直也
