,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,6,12,プリモカリーナ,牝3,54,北村友一,1:07.6,,2.8,2,440(0),[西] 安田隆行
1,2,2,3,メイショウソラフネ,牡3,53,角田大河,1:07.6,ハナ,2.6,1,440(-2),[西] 石橋守
2,3,7,13,ロッホローモンド,牡3,56,幸英明,1:08.2,3.1/2,20.9,8,448(+4),[西] 須貝尚介
3,4,7,15,タマモテラコッタ,牡3,56,和田竜二,1:08.2,クビ,11.0,4,484(-4),[西] 南井克巳
4,5,1,2,ミキネス,牝3,54,松若風馬,1:08.3,1/2,10.0,3,462(+4),[西] 長谷川浩
5,6,8,16,ショウナンナージャ,牝3,54,国分恭介,1:08.8,2.1/2,13.4,5,440(-2),[西] 池添兼雄
6,7,7,14,プリムスフィーリア,牝3,54,藤懸貴志,1:08.8,ハナ,279.7,14,458(-2),[西] 千田輝彦
7,8,2,4,トイムム,牝3,54,団野大成,1:08.8,アタマ,80.6,9,456(+8),[西] 飯田祐史
8,9,5,10,クリノゴールド,牝3,54,田中健,1:08.8,アタマ,87.4,11,422(+10),[西] 荒川義之
9,10,3,5,ルクスリリー,牝3,54,横山典弘,1:09.3,3,154.6,13,412(+22),[西] 松永幹夫
10,11,6,11,ワイズダムアスク,牝3,54,加藤祥太,1:09.3,クビ,479.4,17,370(+2),[西] 梅田智之
11,12,8,18,クリノイットウセイ,牝3,50,永島まな,1:09.7,2.1/2,303.5,15,430(+2),[西] 高橋康之
12,13,5,9,サンドスピリット,牡3,56,西村淳也,1:09.7,アタマ,91.1,12,460(0),[西] 浜田多実
13,14,8,17,タガノマリン,牝3,51,川端海翼,1:09.8,クビ,310.3,16,400(+10),[西] 石坂公一
14,15,4,8,ブリリアントギフト,牝3,54,岩田望来,1:10.8,6,82.1,10,388(+2),[西] 吉村圭司
15,16,1,1,コイニオチテ,牡3,56,田中勝春,1:10.8,クビ,14.3,7,496(+2),[西] 森秀行
16,17,3,6,カシノトムキャット,セ3,53,服部寿希,1:11.1,1.3/4,527.1,18,460(-14),[西] 谷潔
17,18,4,7,マテラハチイチ,牡3,56,松山弘平,1:12.0,5,13.8,6,504(+2),[西] 上村洋行
