,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,8,16,アークデトリオンフ,牡3,52,永島まな,1:46.3,,15.2,8,488(+4),[西] 角田晃一
1,2,1,2,ドンシャーク,牡3,54,松本大輝,1:46.4,1/2,8.3,5,492(+2),[西] 今野貞一
2,3,2,4,テイエムシップ,牡3,56,福永祐一,1:46.7,2,8.4,6,514(-6),[西] 飯田雄三
3,4,1,1,ヒノデテイオー,牡3,56,横山典弘,1:47.2,3,5.5,3,442(+4),[西] 河内洋
4,5,4,8,ウインヴェルデ,牡3,56,松山弘平,1:47.3,クビ,4.4,2,478(-4),[西] 加用正
5,6,6,11,ショウグン,牡3,56,藤岡康太,1:47.5,1.1/2,7.8,4,458(+6),[西] 笹田和秀
6,7,2,3,ヒロシゲアトム,牡3,56,富田暁,1:47.5,クビ,10.4,7,480(0),[西] 長谷川浩
7,8,5,10,フォーブス,牝3,50,今村聖奈,1:47.6,1/2,3.7,1,424(-10),[西] 藤原英昭
8,9,3,5,メイショウシヅキ,牡3,56,中井裕二,1:47.9,1.1/2,116.6,10,464(+8),[西] 池添兼雄
9,10,6,12,ガールズパワー,牝3,54,国分優作,1:48.1,1.1/4,345.4,16,448(-4),[西] 服部利之
10,11,3,6,ライブリスマイル,牡3,56,藤懸貴志,1:48.2,3/4,330.9,15,462(+6),[西] 森田直行
11,12,7,13,ウォーターパンドラ,牝3,51,角田大河,1:48.8,3.1/2,126.4,11,448(+2),[西] 石橋守
12,13,5,9,メイショウアカツキ,牡3,56,太宰啓介,1:48.8,ハナ,231.4,14,428(-2),[西] 上村洋行
13,14,8,15,キタサンガイセン,牡3,56,ホー,1:49.1,1.1/2,182.9,12,504(0),[西] 清水久詞
14,15,7,14,サンマルハート,牝3,54,幸英明,1:50.1,6,97.9,9,418(-2),[西] 大根田裕
15,16,4,7,アメノタヂカラオ,牡3,56,川須栄彦,1:50.8,4,188.6,13,524(-16),[西] 中尾秀正
