,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,8,11,ニシノトキメキ,牝2,53,亀田温心,1:08.4,,5.2,3,464(-14),[西] 北出成人
1,2,1,1,パラシュラーマ,牡2,54,福永祐一,1:08.6,1,2.8,1,452(+4),[西] 浜田多実
2,3,6,7,ミカッテヨンデイイ,牝2,50,今村聖奈,1:08.6,クビ,7.1,4,412(+10),[東] 堀内岳志
3,4,8,12,ニードレストゥセイ,牝2,54,坂井瑠星,1:08.7,3/4,4.0,2,442(-2),[西] 吉村圭司
4,5,2,2,テイケイヴィーノ,牝2,54,団野大成,1:08.7,ハナ,30.2,8,406(-4),[西] 荒川義之
5,6,5,5,スプレンディダ,牝2,52,松本大輝,1:09.0,1.1/2,402.5,12,422(-6),[西] 茶木太樹
6,7,6,8,フェルヴェンテ,牡2,54,国分優作,1:09.1,1/2,12.1,5,452(-2),[西] 加用正
7,8,3,3,ラガープリンセス,牝2,52,小沢大仁,1:09.4,2,202.8,11,390(-6),[西] 池添兼雄
8,9,7,10,クリノクリスタル,牝2,54,幸英明,1:09.4,ハナ,22.9,6,452(+2),[西] 大橋勇樹
9,10,7,9,ミヤジミニー,牝2,51,角田大河,1:09.6,3/4,42.1,10,432(0),[西] 川村禎彦
10,11,4,4,シャープソーン,牝2,54,和田竜二,1:09.7,1/2,24.8,7,442(0),[西] 西園正都
11,12,5,6,アシリパ,牝2,54,松山弘平,1:09.7,アタマ,41.1,9,442(-4),[西] 武英智
