,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,2,4,ミーナティエルナ,牝3,50,永島まな,1:46.1,,28.4,8.0,430(+2),[西] 寺島良
1,2,1,1,ブラックサウザー,牡3,52,今村聖奈,1:46.6,3,3.1,2.0,428(-2),[西] 大根田裕
2,3,4,7,グローレジェンド,牡3,56,ホー,1:46.9,2,14.4,5.0,520(-2),[西] 矢作芳人
3,4,8,15,ミステリーボックス,セ3,56,松山弘平,1:47.6,4,2.4,1.0,492(0),[西] 羽月友彦
4,5,1,2,ドクトゥルネモト,牡3,56,竹之下智,1:47.6,ハナ,69.4,10.0,528(-4),[西] 千田輝彦
5,6,6,11,ゴールデンベッセル,牡3,56,団野大成,1:47.9,2,7.2,3.0,524(+2),[西] 吉村圭司
6,7,6,12,テイエムアルプス,牡3,53,川端海翼,1:48.0,1/2,93.7,12.0,460(-2),[西] 浜田多実
7,8,7,13,モズニキタイ,牡3,56,高倉稜,1:48.1,1/2,24.5,7.0,496(-18),[西] 中尾秀正
8,9,8,16,マイネルシュラーク,牡3,56,幸英明,1:48.2,1/2,7.7,4.0,484(+1),[西] 飯田雄三
9,10,4,8,ポジティブガール,牝3,54,中井裕二,1:48.8,3.1/2,22.3,6.0,456(+8),[西] 小林真也
10,11,5,9,ブレイヴルーラー,牡3,55,亀田温心,1:49.1,1.3/4,202.3,14.0,504(-14),[西] 藤沢則雄
11,12,2,3,メイショウヒメサマ,牝3,54,藤岡康太,1:49.8,4,141.6,13.0,488(+10),[西] 武幸四郎
12,13,3,6,テイエムサンボーイ,牡3,56,国分優作,1:49.8,ハナ,74.5,11.0,544(+10),[西] 坂口智康
13,14,5,10,サトノラッシュ,牡3,56,松若風馬,1:50.2,2.1/2,58.4,9.0,500(-14),[西] 音無秀孝
14,15,3,5,セルリアンコウコウ,牡3,56,太宰啓介,1:50.7,3,303.2,15.0,478(0),[西] 谷潔
15,除,7,14,フィニッシュアップ,牡3,56,横山典弘,,,---,,492(-6),[西] 高橋亮
