,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,7,14,エルザストラウム,牝3,50,今村聖奈,1:46.6,,2.1,1,448(0),[西] 武幸四郎
1,2,8,16,クリニエールグラス,牝3,54,和田竜二,1:47.0,2.1/2,31.2,9,444(+4),[西] 浜田多実
2,3,7,13,ポットマム,牝3,54,福永祐一,1:47.3,1.1/2,22.7,8,468(+2),[西] 田中克典
3,4,6,12,フェルンマンボ,牝3,53,亀田温心,1:47.3,クビ,10.4,4,478(+2),[西] 辻野泰之
4,5,1,2,カラーインデックス,牝3,54,西村淳也,1:47.5,1.1/4,11.6,5,506(+4),[西] 長谷川浩
5,6,3,6,メイショウジェゼロ,牝3,51,角田大河,1:47.7,3/4,84.7,13,448(-4),[西] 石橋守
6,7,5,10,エイシンブラボー,牝3,54,松山弘平,1:48.2,3,8.8,3,412(+6),[西] 渡辺薫彦
7,8,3,5,サクラトップラン,牝3,54,北村友一,1:48.4,1.1/4,5.9,2,444(0),[西] 中尾秀正
8,9,4,7,ムーンスター,牝3,54,藤懸貴志,1:48.6,1.1/4,414.2,16,430(0),[西] 鮫島一歩
9,10,2,3,アルファカリーナ,牝3,54,坂井瑠星,1:49.0,2,12.3,6,426(-2),[西] 池添学
10,11,4,8,メトリカルセオリー,牝3,50,永島まな,1:49.1,1/2,65.5,12,470(-2),[西] 寺島良
11,12,6,11,ティーフォートゥー,牝3,54,横山典弘,1:50.5,9,14.7,7,426(-4),[西] 安田翔伍
12,13,5,9,ソングフォーユー,牝3,54,富田暁,1:51.7,7,32.2,10,436(-2),[西] 森田直行
13,14,2,4,インアスピン,牝3,53,小沢大仁,1:51.9,1.1/2,259.9,15,492(+4),[西] 四位洋文
14,15,1,1,コトル,牝3,54,川須栄彦,1:52.4,2.1/2,42.7,11,490(-6),[西] 河内洋
15,16,8,15,ジョーヌヴェール,牝3,54,加藤祥太,1:53.2,5,157.9,14,436(+4),[西] 庄野靖志
