,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,7,15,メイショウソラフネ,牡3,53,角田大河,1:07.4,,2.3,1,446(+6),[西] 石橋守
1,2,5,10,ハルカナネガイ,牝3,54,松山弘平,1:07.7,1.3/4,13.0,6,408(+10),[西] 畑端省吾
2,3,6,11,シュガーフロート,牝3,50,今村聖奈,1:07.8,1/2,5.1,3,412(+14),[西] 高柳大輔
3,4,2,3,ミキネス,牝3,54,松若風馬,1:07.8,クビ,44.6,9,460(-2),[西] 長谷川浩
4,5,1,1,トウカイエクラン,牝3,54,北村友一,1:07.9,3/4,71.4,10,446(-2),[西] 茶木太樹
5,6,8,17,ロッホローモンド,牡3,56,幸英明,1:08.2,1.3/4,27.9,7,446(-2),[西] 須貝尚介
6,7,1,2,ジーツーガッキー,牝3,54,藤岡康太,1:08.2,アタマ,4.1,2,500(+4),[西] 藤岡健一
7,8,4,8,エストレアブランカ,牝3,54,川須栄彦,1:08.3,クビ,12.2,5,484(-22),[西] 高野友和
8,9,2,4,シルバーペコ,牝3,54,荻野極,1:08.6,2,30.8,8,466(+4),[西] 橋口慎介
9,10,3,5,タマモサウルス,牡3,54,松本大輝,1:08.9,2,225.0,14,442(+4),[西] 南井克巳
10,11,7,14,キャストロゲイル,牡3,56,団野大成,1:09.0,アタマ,124.3,12,482(+2),[西] 牧浦充徳
11,12,4,7,ソングフォーユー,牝3,54,西村淳也,1:09.0,クビ,12.1,4,438(-4),[西] 森田直行
12,13,5,9,アップルマフィン,牝3,54,城戸義政,1:09.2,1,299.7,15,424(+10),[西] 荒川義之
13,14,8,16,ベニテマリ,牝3,50,永島まな,1:09.7,3,148.8,13,434(+10),[西] 西園正都
14,15,3,6,クリノゴーゴー,牝3,54,太宰啓介,1:10.0,2,447.5,18,388(+24),[西] 谷潔
15,16,6,12,キュルキュマ,牝3,54,富田暁,1:10.6,3.1/2,73.9,11,436(0),[西] 安田翔伍
16,17,7,13,カシノコマンド,牝3,51,川端海翼,1:10.9,1.3/4,391.8,17,424(-6),[西] 藤沢則雄
17,18,8,18,プリティプリティー,牝3,53,亀田温心,1:11.0,クビ,327.4,16,462(+12),[西] 笹田和秀
