,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,4,4,クインズエルサ,牝2,54,川田将雅,1:08.1,,2.0,1,414(-8),[西] 西村真幸
1,2,5,5,フェリキタス,牝2,52,松本大輝,1:08.2,1/2,3.6,2,424(+2),[西] 羽月友彦
2,3,6,6,スプレンディダ,牝2,52,小沢大仁,1:08.3,クビ,10.0,3,424(0),[西] 茶木太樹
3,4,7,8,ワキアプリンセス,牝2,50,永島まな,1:08.4,1/2,55.2,8,430(-10),[西] 橋田満
4,5,1,1,イナウィンク,牡2,54,ホー,1:08.6,1.1/4,19.1,7,428(0),[西] 新谷功一
5,6,3,3,タマモメガジョッキ,牡2,54,和田竜二,1:08.6,クビ,15.8,6,468(0),[西] 南井克巳
6,7,8,9,プリティジェニー,牝2,50,今村聖奈,1:09.1,3,10.0,4,412(+10),[西] 西村真幸
7,8,2,2,テイケイヴィーノ,牝2,54,団野大成,1:09.4,1.3/4,12.3,5,402(-4),[西] 荒川義之
8,9,8,10,キャビネットバトル,牡2,54,長岡禎仁,1:09.8,2.1/2,122.2,9,424(0),[西] 杉山佳明
9,10,7,7,アリアージュ,牡2,51,角田大河,1:10.0,1.1/4,180.9,10,446(+18),[西] 加用正
