,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,8,15,ヴァレーデラルナ,牝3,52,福永祐一,1:44.8,,1.6,1,510(+4),[西] 藤原英昭
1,2,5,9,プラチナドリーム,牡3,54,北村友一,1:45.1,2,61.7,10,454(-2),[西] 平田修
2,3,2,2,キョウワウォール,牡6,57,中井裕二,1:45.2,クビ,16.7,6,480(+6),[西] 飯田雄三
3,4,3,5,メイショウミズモ,牝4,55,藤岡康太,1:45.3,1/2,34.5,8,416(0),[西] 笹田和秀
4,5,4,7,ルドンカズマ,牡5,57,亀田温心,1:45.3,アタマ,113.2,13,498(0),[西] 杉山晴紀
5,6,7,12,コンスタンティン,牝3,52,松若風馬,1:45.4,3/4,8.5,3,466(+6),[西] 石坂公一
6,7,4,6,スズカマクフィ,牝4,55,荻野極,1:45.6,1,63.1,11,444(+14),[西] 橋田満
7,8,1,1,ヒロノシュン,セ3,54,富田暁,1:46.0,2.1/2,6.8,2,488(+4),[西] 川村禎彦
8,9,6,10,バライロノキセキ,牝4,55,松本大輝,1:46.3,1.3/4,96.0,12,478(+2),[西] 中竹和也
9,10,3,4,シゲルヒカルダイヤ,牡6,57,ホー,1:46.5,1.1/2,46.9,9,526(+2),[西] 橋田満
10,11,8,14,トーアシオン,セ6,57,幸英明,1:46.6,1/2,22.8,7,486(+4),[東] 辻哲英
11,12,5,8,ラルフ,牡4,57,団野大成,1:46.7,クビ,13.8,5,482(+10),[西] 荒川義之
12,13,2,3,フェブタイズ,牡6,57,松山弘平,1:47.0,1.3/4,115.2,14,510(-6),[西] 川村禎彦
13,14,6,11,ロードジャスティス,牡3,54,西村淳也,1:47.5,3,10.5,4,468(-6),[西] 安田隆行
14,15,7,13,シュアゲイト,牡5,57,国分恭介,1:48.1,3.1/2,255.1,15,506(+2),[西] 宮本博
