,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,1,1,ロンドンプラン,牡2,54,松山弘平,1:08.1,,7.4,4,498(-10),[西] 宮本博
1,2,7,11,バレリーナ,牝2,54,団野大成,1:08.2,3/4,31.6,9,456(+2),[西] 清水久詞
2,3,8,13,シルフィードレーヴ,牝2,54,西村淳也,1:08.3,1/2,51.2,11,436(+2),[西] 西園正都
3,4,6,9,プロトポロス,牡2,54,福永祐一,1:08.4,クビ,2.6,1,484(+8),[西] 西村真幸
4,5,7,10,ゴールデンウィンド,牝2,54,坂井瑠星,1:08.4,アタマ,21.1,7,458(-8),[西] 高柳大輔
5,6,5,6,メイショウヒュウガ,牡2,54,北村友一,1:08.6,1.1/4,14.2,6,478(+2),[西] 安達昭夫
6,7,8,12,ウメムスビ,牡2,54,角田大河,1:08.8,1.1/2,55.7,12,438(-2),[西] 新谷功一
7,8,4,4,メイショウコギク,牝2,54,和田竜二,1:08.9,3/4,8.9,5,424(0),[西] 南井克巳
8,9,6,8,ニシノトキメキ,牝2,54,亀田温心,1:09.1,1.1/4,33.2,10,466(+2),[西] 北出成人
9,10,5,7,ミカッテヨンデイイ,牝2,54,今村聖奈,1:09.3,1,6.5,3,408(-2),[東] 堀内岳志
10,11,4,5,クリダーム,牡2,54,武豊,1:09.4,3/4,6.2,2,478(+10),[西] 須貝尚介
11,12,2,2,アウクソー,牝2,54,横山典弘,1:09.4,ハナ,28.1,8,410(-2),[西] 安田隆行
12,13,3,3,ゴーツウキリシマ,牝2,54,富田暁,1:10.1,4,193.9,13,442(-2),[西] 牧田和弥
