,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,1,2,マリアエレーナ,牝4,54.0,松山弘平,1:57.4,,5.0,2.0,424(-2),[西] 吉田直弘
1,2,6,12,ヒンドゥタイムズ,セ6,56.5,ホー,1:58.2,5,32.0,10.0,462(-14),[西] 斉藤崇史
2,3,2,4,ジェラルディーナ,牝4,54.0,福永祐一,1:58.2,ハナ,3.2,1.0,458(+6),[西] 斉藤崇史
3,4,7,14,カテドラル,牡6,57.0,団野大成,1:58.6,2.1/2,13.7,6.0,484(+2),[西] 池添学
4,5,4,7,ピースオブエイト,牡3,53.0,松本大輝,1:58.7,クビ,8.5,4.0,458(-2),[西] 奥村豊
5,6,2,3,ムジカ,牝5,51.0,横山典弘,1:58.7,アタマ,6.0,3.0,456(-2),[西] 鈴木孝志
6,7,5,10,カデナ,牡8,57.5,今村聖奈,1:58.7,クビ,15.7,8.0,478(0),[西] 中竹和也
7,8,1,1,アーデントリー,牡6,54.0,中井裕二,1:58.8,クビ,109.9,15.0,442(-4),[西] 川村禎彦
8,9,8,16,ヒュミドール,セ6,56.0,藤岡康太,1:59.1,1.1/2,15.2,7.0,476(+4),[東] 小手川準
9,10,3,5,ダブルシャープ,牡7,56.0,幸英明,1:59.6,3,36.6,11.0,484(-6),[西] 渡辺薫彦
10,11,3,6,タガノディアマンテ,牡6,56.0,北村友一,1:59.7,1/2,10.2,5.0,488(+4),[西] 鮫島一歩
11,12,6,11,ショウナンバルディ,牡6,57.0,松若風馬,1:59.7,アタマ,50.4,12.0,452(0),[西] 松下武士
12,13,7,13,モズナガレボシ,牡5,55.0,荻野極,2:00.2,3,78.0,13.0,504(+8),[西] 荒川義之
13,14,5,9,シフルマン,牡6,56.0,西村淳也,2:00.2,アタマ,19.8,9.0,498(-4),[西] 中尾秀正
14,15,8,15,スーパーフェザー,セ7,54.0,川須栄彦,2:00.5,1.1/2,90.1,14.0,474(-2),[西] 渡辺薫彦
15,取,4,8,プリマヴィスタ,牡5,53.0,高倉稜,,,---,,計不,[西] 矢作芳人
