,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,5,8,ピンクムーン,牝3,51,角田大河,0:58.4,,3.8,2.0,430(+2),[西] 渡辺薫彦
1,2,4,6,テイエムフェロー,牡3,56,鮫島良太,0:59.2,5,2.2,1.0,488(0),[西] 飯田雄三
2,3,2,2,フィオリーカズマ,セ3,54,松本大輝,0:59.2,クビ,7.3,5.0,472(+4),[西] 安田翔伍
3,4,8,14,ココシルフィード,牝3,54,松若風馬,0:59.4,3/4,7.3,4.0,446(+4),[西] 奥村豊
4,5,6,9,サンライズタイタン,牡3,56,松山弘平,0:59.6,1.1/4,5.5,3.0,518(+2),[西] 音無秀孝
5,6,6,10,クラウンスター,セ3,56,中井裕二,0:59.7,1,139.3,10.0,446(+2),[西] 飯田雄三
6,7,1,1,ウイングクレバー,牡3,55,亀田温心,0:59.8,クビ,314.4,12.0,502(+1),[西] 藤沢則雄
7,8,7,11,アスターモノゴン,牡3,53,服部寿希,0:59.8,クビ,37.5,6.0,460(+4),[西] 中竹和也
8,9,3,4,メイショウコマヒメ,牝3,50,今村聖奈,1:00.0,1.1/4,45.5,7.0,408(-2),[西] 南井克巳
9,10,8,13,ダブルブレンド,牝3,54,和田竜二,1:00.2,1.1/4,68.1,8.0,408(+6),[西] 西村真幸
10,11,5,7,スリーズロワイヤル,牝3,54,高倉稜,1:01.3,7,453.1,13.0,424(+2),[西] 田中克典
11,12,3,3,アオイタマヒメ,牝3,50,永島まな,1:01.3,アタマ,113.7,9.0,474(0),[西] 高橋康之
12,13,4,5,メイショウボヤージ,牝3,54,城戸義政,1:01.4,3/4,285.0,11.0,468(0),[西] 荒川義之
13,除,7,12,ギンノカミカザリ,牝3,54,岩田望来,,,---,,464(+10),[西] 加用正
