,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,6,12,ショウナンナダル,牝3,54,Ｍ．デム,1:46.9,,7.2,3,442(-4),[西] 須貝尚介
1,2,7,13,スウィートスカー,牝3,54,川田将雅,1:47.4,3.1/2,2.2,1,472(+8),[西] 鮫島一歩
2,3,4,7,ラブカヒルー,牝3,54,西村淳也,1:47.6,1.1/2,63.5,9,442(-6),[西] 森田直行
3,4,6,11,サニーバローズ,牝3,54,団野大成,1:47.8,1,7.7,4,464(0),[西] 斉藤崇史
4,5,3,6,ビートルジュース,牝3,54,加藤祥太,1:47.9,1/2,113.4,11,418(-8),[西] 羽月友彦
5,6,4,8,アパショナード,牡3,56,岩田望来,1:47.9,ハナ,58.7,8,420(-8),[西] 千田輝彦
6,7,5,9,イドロボニータ,牝3,52,松本大輝,1:47.9,アタマ,91.6,10,470(-10),[西] 飯田雄三
7,8,2,3,マリーナドンナ,牝3,54,福永祐一,1:48.1,1.1/4,3.9,2,442(-10),[西] 安田隆行
8,9,8,15,クリオミニーズ,牡3,56,北村友一,1:48.2,1/2,9.4,5,482(-4),[西] 藤岡健一
9,10,1,2,トーホウグラス,牝3,50,永島まな,1:49.1,5,260.5,13,434(+10),[西] 高橋康之
10,11,8,16,カムアウトロール,牝3,54,幸英明,1:49.2,クビ,335.2,16,422(-2),[西] 辻野泰之
11,12,1,1,メイショウヤマジロ,牡3,56,秋山真一,1:50.7,9,277.1,14,500(-16),[西] 梅田智之
12,13,7,14,ヤマニンモノポリー,牡3,53,川端海翼,1:50.7,クビ,241.4,12,516(+12),[西] 木原一良
13,14,3,5,コトル,牝3,54,松若風馬,1:50.9,3/4,11.9,6,496(0),[西] 河内洋
14,15,2,4,テーオーインパクト,牡3,53,角田大河,1:51.3,2.1/2,292.9,15,506(-3),[西] 宮徹
15,16,5,10,ブンダクリフス,牡3,52,今村聖奈,1:51.9,3.1/2,54.1,7,484(0),[西] 寺島良
