,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,1,2,サトノリーベ,牝3,54,幸英明,2:00.2,,3.8,2,442(+2),[西] 藤原英昭
1,2,8,16,シャトンアンジュ,牝3,54,西村淳也,2:00.2,クビ,4.6,3,424(-2),[西] 池添学
2,3,3,6,ルージュラジョア,牝3,54,鮫島克駿,2:00.4,1.1/4,1.7,1,456(+4),[西] 西村真幸
3,4,6,12,プラウドリネージュ,牝3,50,今村聖奈,2:00.6,1.1/4,23.8,5,426(+4),[西] 四位洋文
4,5,8,15,ベガエクスプレス,牝3,54,中井裕二,2:00.9,2,29.0,6,432(+8),[西] 鈴木孝志
5,6,2,4,レディコートアスク,牝3,54,富田暁,2:01.1,3/4,36.4,8,430(+14),[西] 梅田智之
6,7,3,5,クレエンシア,牝3,52,松本大輝,2:01.1,クビ,20.8,4,450(+2),[西] 斉藤崇史
7,8,7,14,ホウオウフラッシュ,牝3,54,荻野極,2:01.7,3.1/2,399.2,14,444(+8),[西] 吉岡辰弥
8,9,6,11,チュウワシルバー,牝3,54,加藤祥太,2:01.8,クビ,532.1,16,480(-4),[西] 庄野靖志
9,10,5,10,キルステン,牝3,51,川端海翼,2:01.9,1/2,167.4,11,450(-6),[西] 浜田多実
10,11,7,13,スナークルーヴル,牝3,50,永島まな,2:03.2,8,203.7,12,446(+6),[西] 野中賢二
11,12,4,8,ブリリアントギフト,牝3,54,松若風馬,2:03.8,3.1/2,150.4,10,388(0),[西] 吉村圭司
12,13,4,7,スズカアーム,牝3,54,森裕太朗,2:05.1,8,344.0,13,480(-6),[西] 橋田満
13,中,1,1,シンハプーラ,牝3,53,小沢大仁,,,29.3,7,474(0),[西] 高野友和
14,中,2,3,キンプウ,牝3,54,長岡禎仁,,,514.8,15,460(-4),[西] 高橋康之
15,中,5,9,ティンタルレ,牝3,54,高倉稜,,,146.9,9,430(+8),[西] 田中克典
