,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,3,5,アラジンバローズ,セ5,56,西村淳也,1:41.6,,4.2,2,478(+2),[西] 中内田充
1,2,3,6,ジレトール,牡3,54,川田将雅,1:41.7,3/4,2.0,1,480(+6),[西] 松永幹夫
2,3,7,14,フィロロッソ,牡5,55,藤岡康太,1:41.9,3/4,13.7,4,480(+8),[西] 中竹和也
3,4,4,7,ペガサス,牡6,54,ホー,1:42.9,6,54.7,12,450(0),[西] 大久保龍
4,5,1,1,サンライズシェリー,牡5,54,幸英明,1:43.0,1/2,18.4,6,490(+2),[西] 河内洋
5,6,2,3,スズカデレヤ,牡5,55,秋山真一,1:43.0,アタマ,37.5,11,508(-12),[西] 大橋勇樹
6,7,8,15,レガーメペスカ,牡5,55,小沢大仁,1:43.0,アタマ,32.3,8,498(+6),[西] 松永昌博
7,8,7,13,スペースクラフト,セ6,54,横山典弘,1:43.0,クビ,115.4,15,496(-2),[西] 松永幹夫
8,9,5,9,クリノホノオ,牡5,56,酒井学,1:43.1,1/2,14.9,5,482(-18),[西] 谷潔
9,10,6,11,ダッチマン,セ5,54,松若風馬,1:43.3,3/4,37.1,10,456(-8),[西] 音無秀孝
10,11,4,8,ギブミーラブ,牝4,52,北村友一,1:43.3,クビ,175.6,16,480(+4),[西] 藤岡健一
11,12,2,4,ベルゼール,牝4,51,今村聖奈,1:43.6,1.1/2,75.4,14,444(-14),[西] 平田修
12,13,6,12,スギノマジェスティ,牡4,53,富田暁,1:43.7,1/2,33.7,9,470(0),[西] 上村洋行
13,14,8,16,ワンダーイチョウ,牡4,55,長岡禎仁,1:43.8,3/4,26.8,7,490(+2),[西] 杉山晴紀
14,15,1,2,サトノガイア,牝5,53,太宰啓介,1:44.6,5,67.2,13,486(+16),[西] 高橋亮
15,16,5,10,ピュアジャッジ,セ4,55,団野大成,1:46.9,大,7.8,3,506(+12),[西] 清水久詞
