,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,6,11,ニシノデフィレ,牡3,55,西村淳也,1:07.6,,5.3,3.0,496(+6),[西] 宮本博
1,2,3,5,エンジェルシリカ,牝3,53,坂井瑠星,1:07.7,1/2,4.8,2.0,450(-4),[西] 矢作芳人
2,3,7,13,フィルムスコア,牝4,55,藤懸貴志,1:07.8,1/2,22.6,8.0,456(-2),[西] 平田修
3,4,7,14,ショウナンガニアン,牡4,57,北村友一,1:08.0,1.1/4,37.0,9.0,442(-12),[西] 須貝尚介
4,5,5,10,ドリアード,牝4,51,今村聖奈,1:08.0,クビ,37.9,10.0,474(+2),[西] 佐々木晶
5,6,8,15,アスターディゴン,牡3,55,和田竜二,1:08.1,1/2,10.4,5.0,476(0),[西] 中竹和也
6,7,8,16,ベンガン,牡5,57,武豊,1:08.3,1.1/4,15.9,7.0,470(0),[西] 千田輝彦
7,8,4,7,トリップトゥムーン,牡3,55,富田暁,1:08.3,クビ,6.4,4.0,450(+4),[西] 新谷功一
8,9,4,8,ロードラスター,牡4,57,川須栄彦,1:08.4,1/2,56.3,12.0,506(-10),[西] 千田輝彦
9,10,1,1,モズジャックポット,牡3,55,国分恭介,1:08.4,ハナ,86.4,14.0,478(+8),[西] 牧浦充徳
10,11,2,4,マイネルヘルト,牡5,57,団野大成,1:08.4,ハナ,81.7,13.0,426(+2),[西] 西園正都
11,12,5,9,テーオースパロー,牡3,55,福永祐一,1:08.4,ハナ,3.2,1.0,484(-2),[西] 清水久詞
12,13,3,6,ミッキーフランケル,セ4,57,松山弘平,1:08.7,1.1/2,14.8,6.0,464(-4),[西] 池添学
13,14,6,12,メイショウヒゾッコ,牝4,52,角田大河,1:09.3,3.1/2,43.2,11.0,416(0),[西] 石橋守
14,15,2,3,ナイルリバー,牡5,55,松本大輝,1:10.0,4,253.7,15.0,570(+2),[西] 茶木太樹
15,除,1,2,フロイトセンス,牡3,54,小沢大仁,,,---,,518(+16),[西] 清水久詞
