,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,8,15,タケトンボ,牝3,50,今村聖奈,1:48.4,,9.4,6,426(-4),[西] 飯田雄三
1,2,5,9,ブラッドワイルド,牡3,56,団野大成,1:48.6,1.1/4,5.7,3,508(+2),[西] 野中賢二
2,3,8,16,アールフォルス,牝3,54,坂井瑠星,1:48.7,1/2,5.3,2,460(+4),[西] 橋口慎介
3,4,3,5,バーニングヒート,牝3,54,松山弘平,1:48.7,クビ,6.9,4,436(-4),[西] 安田翔伍
4,5,1,2,クリオミニーズ,牡3,56,松若風馬,1:48.8,1/2,12.1,7,482(-2),[西] 藤岡健一
5,6,7,13,テーオーコンドル,セ3,53,川端海翼,1:48.8,ハナ,59.8,10,458(-2),[西] 宮徹
6,7,5,10,アパショナード,牡3,56,富田暁,1:48.9,クビ,22.9,9,426(0),[西] 千田輝彦
7,8,2,3,エスポワールエール,牡3,56,西村淳也,1:48.9,ハナ,3.7,1,486(-4),[西] 高野友和
8,9,6,11,ルクスクリスティー,牝3,54,秋山真一,1:49.1,1.1/4,12.2,8,472(+6),[西] 武幸四郎
9,10,3,6,サンライズルーチェ,牡3,55,小沢大仁,1:49.6,3,132.3,12,508(-4),[西] 河内洋
10,11,4,8,スズカマース,牝3,50,永島まな,1:49.8,1.1/2,133.7,13,464(-4),[西] 橋田満
11,12,1,1,カラパナブラック,牡3,56,荻野極,1:50.1,1.3/4,8.9,5,524(0),[西] 藤原英昭
12,13,2,4,カムアウトロール,牝3,54,和田竜二,1:50.1,クビ,319.5,15,426(+4),[西] 辻野泰之
13,14,7,14,サイレントブラック,牡3,56,国分優作,1:50.9,5,100.5,11,526(+6),[西] 辻野泰之
14,15,6,12,エアリーリージェン,牝3,51,角田大河,1:51.8,5,134.6,14,470(-4),[西] 武幸四郎
15,16,4,7,ハクサンゴールド,牡3,56,中井裕二,1:52.3,3,340.8,16,456(-14),[西] 飯田雄三
