,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,4,4,アルムラトゥール,牡2,54,鮫島克駿,0:59.6,,3.5,2,494(+6),[西] 川村禎彦
1,2,2,2,シャドウダッチェス,牝2,54,幸英明,1:00.1,3,8.9,4,450(+6),[東] 深山雅史
2,3,6,7,ウィルオブラガー,牡2,54,西村淳也,1:01.2,7,2.9,1,488(+4),[西] 清水久詞
3,4,8,11,ミュラー,牡2,52,松本大輝,1:01.3,3/4,29.3,7,440(-2),[西] 新谷功一
4,5,3,3,ミヤジミニー,牝2,50,今村聖奈,1:01.6,1.3/4,5.1,3,434(+2),[西] 川村禎彦
5,6,6,8,ベロニカブレイン,牝2,53,亀田温心,1:01.8,1.1/2,13.9,6,412(-12),[西] 北出成人
6,7,7,10,プライスレス,牝2,54,川須栄彦,1:01.9,クビ,9.2,5,442(-4),[西] 加用正
7,8,5,5,ケイパラパデオ,牝2,50,永島まな,1:02.6,4,110.3,10,412(-2),[西] 本田優
8,9,1,1,ヨシノレジェンド,牝2,54,富田暁,1:02.7,3/4,96.9,9,378(-2),[西] 吉田直弘
9,10,5,6,メイショウベニバナ,牝2,53,小沢大仁,1:03.5,5,51.3,8,450(+4),[西] 松永昌博
10,11,7,9,ナディスター,セ2,54,中井裕二,1:03.8,1.3/4,191.5,12,458(0),[西] 村山明
11,12,8,12,コパノサンタアナ,牡2,54,森裕太朗,1:05.3,9,156.6,11,470(0),[西] 村山明
