,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,8,17,ラウルピドゥ,牡3,56,川田将雅,2:00.9,,3.1,1,476(+2),[西] 吉村圭司
1,2,6,12,シャトンアンジュ,牝3,54,西村淳也,2:01.1,1.1/4,4.0,2,426(0),[西] 池添学
2,3,3,5,ニシノクレセント,牡3,56,幸英明,2:01.2,3/4,14.0,6,500(-2),[西] 長谷川浩
3,4,5,10,メイショウブレゲ,牡3,56,富田暁,2:01.2,ハナ,4.6,3,456(0),[西] 本田優
4,5,1,1,ベッロジョヴァンニ,牡3,56,和田竜二,2:01.4,1.1/4,20.9,8,454(+4),[西] 高野友和
5,6,5,9,ヴィクトールドパリ,牡3,56,酒井学,2:01.4,クビ,23.5,9,468(0),[西] 西園正都
6,7,2,3,デアリングオウカ,牝3,54,松山弘平,2:01.5,クビ,10.5,4,450(0),[西] 杉山晴紀
7,8,7,15,カレンアップラウゾ,牡3,56,ホー,2:01.6,3/4,52.9,11,490(+2),[西] 安田翔伍
8,9,2,4,モズネズコ,牝3,54,藤岡康太,2:01.7,クビ,15.1,7,494(+6),[西] 松下武士
9,10,3,6,メイショウカジヤ,セ3,54,小沢大仁,2:01.8,1/2,50.4,10,430(0),[西] 池添兼雄
10,11,6,11,フォルツァモンド,牝3,54,国分優作,2:01.9,1/2,196.2,12,394(+2),[西] 池添兼雄
11,12,4,7,タイキフリード,牡3,56,森裕太朗,2:01.9,ハナ,208.4,13,444(-4),[西] 橋田満
12,13,4,8,スタローン,牡3,52,今村聖奈,2:02.1,1.1/2,12.4,5,472(+2),[西] 武幸四郎
13,14,1,2,クリノセキトバ,牡3,53,服部寿希,2:03.0,5,282.0,15,430(+4),[西] 川村禎彦
14,15,7,13,タマテバコ,牝3,54,太宰啓介,2:03.0,クビ,341.9,17,470(-4),[西] 渡辺薫彦
15,16,8,18,ダンツアクア,牝3,54,秋山真一,2:06.0,大,355.8,18,484(+12),[西] 谷潔
16,17,7,14,ドンクライベイビー,牡3,56,荻野極,2:08.1,大,327.2,16,520(0),[西] 池江泰寿
17,18,8,16,デール,牡3,56,横山典弘,2:10.1,大,279.7,14,504(+2),[西] 松永幹夫
