,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,2,2,リバーシブルレーン,牡6,60,石神深一,3:06.3,,4.1,3,438(0),[東] 辻哲英
1,2,5,5,マイサンシャイン,牡6,59,小牧加矢,3:07.1,5,3.1,1,492(0),[西] 五十嵐忠
2,3,7,7,セデックカズマ,牡6,60,平沢健治,3:08.1,6,5.8,4,510(+2),[西] 高柳大輔
3,4,3,3,ニホンピロヘイロー,牝7,58,中村将之,3:08.4,2,13.4,6,472(0),[西] 服部利之
4,5,6,6,ネビーイーム,牡4,60,白浜雄造,3:09.4,6,7.2,5,526(+2),[西] 佐々木晶
5,6,4,4,ビルジキール,牡6,60,難波剛健,3:10.3,5,27.9,7,492(0),[西] 安達昭夫
6,7,1,1,エクスパートラン,牡7,60,高田潤,3:15.6,大,67.0,8,462(0),[西] 小崎憲
7,中,8,8,ドリームソルジャー,牡8,60,植野貴也,,,3.8,2,486(-2),[西] 渡辺薫彦
