,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,8,11,エグランタイン,牝3,52,福永祐一,1:59.6,,2.4,1,450(+2),[西] 笹田和秀
1,2,5,6,プリティユニバンス,牝5,55,藤懸貴志,2:00.1,3,184.4,10,454(+2),[西] 村山明
2,3,6,7,ラスマドレス,牝3,52,北村友一,2:00.1,アタマ,4.1,2,448(-8),[西] 安田隆行
3,4,1,1,スタティスティクス,牝3,52,幸英明,2:00.1,アタマ,6.0,3,438(+16),[西] 石坂公一
4,5,6,8,ツッチーフェイス,牝3,52,松若風馬,2:00.4,1.1/2,26.9,8,476(+6),[西] 今野貞一
5,6,8,12,トモエセンニンギリ,牝3,52,富田暁,2:00.6,1.1/2,257.2,11,454(-12),[西] 武英智
6,7,4,4,ラフダイヤモンド,牝5,55,横山典弘,2:00.8,1,15.7,7,484(-4),[西] 高橋康之
7,8,2,2,ポルテーニャ,牝3,49,角田大河,2:00.8,クビ,78.9,9,432(+8),[西] 西村真幸
8,9,7,10,ベリーヴィーナス,牝3,52,藤岡康太,2:00.8,クビ,10.3,5,480(+10),[西] 鈴木孝志
9,10,3,3,プレミアスコア,牝3,52,松山弘平,2:01.0,1.1/4,14.2,6,476(-2),[西] 松永幹夫
10,11,5,5,アドマイヤグリーゼ,牝3,49,今村聖奈,2:01.1,クビ,7.0,4,450(+4),[西] 友道康夫
11,12,7,9,ラストアプローズ,牝4,53,松本大輝,2:02.9,大,462.5,12,476(0),[東] 堀内岳志
