,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,7,15,マイネルレノン,牡3,56,国分優作,1:07.9,,11.4,7,462(-6),[西] 宮徹
1,2,6,12,クリノオスカル,牝3,51,角田大河,1:08.0,1/2,14.3,10,416(-4),[西] 大橋勇樹
2,3,7,13,プロティオスミノル,牝3,54,高倉稜,1:08.5,2.1/2,195.1,18,448(+2),[西] 北出成人
3,4,4,7,ホワールウィンド,牡3,52,今村聖奈,1:08.7,1.1/2,6.0,2,466(0),[西] 佐々木晶
4,5,7,14,マテンロウメーヴェ,牝3,54,団野大成,1:08.8,クビ,14.2,9,492(-4),[西] 藤原英昭
5,6,5,9,ダイヤモンドフジ,牡3,56,富田暁,1:08.8,ハナ,10.7,6,446(-2),[西] 宮本博
6,7,3,5,ショウナンナージャ,牝3,53,亀田温心,1:08.9,1/2,115.4,17,446(+4),[西] 池添兼雄
7,8,3,6,ダンツキタイ,牝3,54,秋山真一,1:08.9,ハナ,10.0,5,474(-4),[西] 谷潔
8,9,8,17,ハルカナネガイ,牝3,54,和田竜二,1:09.0,1,6.5,3,406(-4),[西] 畑端省吾
9,10,6,11,スオウオオシマ,牝3,54,北村友一,1:09.0,アタマ,112.1,16,452(-2),[西] 中尾秀正
10,11,2,3,ミキネス,牝3,54,松若風馬,1:09.0,ハナ,13.2,8,452(-8),[西] 長谷川浩
11,12,4,8,ユーロックデュード,牝3,52,松本大輝,1:09.1,1/2,109.3,15,428(+4),[西] 吉村圭司
12,13,5,10,エイシングラール,牝3,54,西村淳也,1:09.4,1.1/2,65.7,14,456(+2),[西] 今野貞一
13,14,8,18,ジョーリベリカ,牡3,56,松山弘平,1:09.4,クビ,5.9,1,456(+2),[西] 清水久詞
14,15,8,16,アイビーテーラー,牡3,56,川須栄彦,1:09.5,1/2,36.1,11,424(+4),[西] 河内洋
15,16,1,2,エイシングリュック,牡3,55,小沢大仁,1:09.5,ハナ,6.5,4,484(+2),[西] 今野貞一
16,17,1,1,アイノカタマリ,牡3,56,酒井学,1:09.9,2,37.6,12,458(-10),[西] 笹田和秀
17,18,2,4,ヒロシゲダンディ,牡3,56,坂井瑠星,1:11.4,9,54.4,13,494(+8),[西] 北出成人
