,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,4,4,リカンカブール,牡3,54,藤岡康太,1:57.6,,2.5,1,488(0),[西] 田中克典
1,2,8,11,サトノマジェスタ,牡4,57,和田竜二,1:57.8,3/4,36.0,8,482(0),[西] 音無秀孝
2,3,6,7,エーデルブルーメ,牝3,52,川田将雅,1:57.8,クビ,2.9,2,470(+2),[西] 安田隆行
3,4,2,2,サンライズエース,牡3,54,横山典弘,1:58.0,1.1/4,5.5,3,488(+6),[西] 河内洋
4,5,6,6,アンフィニドール,牝4,55,富田暁,1:58.5,3,11.9,4,488(+2),[西] 千田輝彦
5,6,3,3,シゲルローズマリー,牡3,54,西村淳也,1:58.6,クビ,14.2,6,464(-2),[西] 渡辺薫彦
6,7,5,5,ヒルノエドワード,牡5,57,太宰啓介,1:58.6,クビ,56.6,9,476(-12),[西] 昆貢
7,8,8,10,タガノバルコス,牡3,54,秋山真一,1:58.8,1.1/4,113.6,11,470(-6),[西] 鮫島一歩
8,9,1,1,アランヴェリテ,牡3,54,幸英明,1:59.3,3,30.8,7,478(0),[西] 中竹和也
9,10,7,9,トルナヴァ,牝3,52,団野大成,2:03.5,大,12.5,5,478(+2),[西] 斉藤崇史
10,11,7,8,ネクサスハート,牡4,57,ホー,2:11.6,大,91.4,10,522(-6),[西] 武幸四郎
