,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,7,10,エスコーラ,牡4,56,福永祐一,1:48.4,,1.5,1,518(+18),[西] 中内田充
1,2,6,9,ウインリブルマン,牡4,54,松若風馬,1:48.6,1,10.8,4,512(-6),[西] 飯田雄三
2,3,5,6,タガノパッション,牝4,53,藤岡康太,1:48.6,クビ,9.0,3,474(+2),[西] 武幸四郎
3,4,7,11,ルヴァン,牡5,54,幸英明,1:48.9,1.3/4,79.3,10,476(0),[西] 清水久詞
4,5,2,2,シャフトオブライト,牡7,54,亀田温心,1:48.9,クビ,187.6,13,440(-26),[西] 北出成人
5,6,8,12,ウエストンバート,牡4,54,北村友一,1:49.0,クビ,20.2,6,532(-4),[西] 吉岡辰弥
6,7,3,3,ソニックベガ,牝5,52,西村淳也,1:49.1,3/4,20.1,5,466(-6),[西] 田中克典
7,8,1,1,エターナルヴィテス,牡6,52,田中勝春,1:49.1,アタマ,34.6,8,480(+6),[東] 松山将樹
8,9,4,5,イロゴトシ,牡5,55,荻野極,1:49.3,1.1/4,27.8,7,474(+6),[西] 牧田和弥
9,10,8,13,ワールドスケール,牡5,54,団野大成,1:49.3,ハナ,36.6,9,460(-10),[西] 野中賢二
10,11,6,8,ジョウショームード,牡6,51,高倉稜,1:49.7,2.1/2,151.8,11,438(-6),[西] 服部利之
11,12,4,4,トウシンモンブラン,牝4,53,松山弘平,1:49.8,1,6.1,2,482(+2),[西] 杉山晴紀
12,13,5,7,ヴィクターバローズ,セ5,53,富田暁,1:50.3,3,154.3,12,450(-4),[西] 上村洋行
