,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,7,11,ペースセッティング,牡2,54,坂井瑠星,1:07.9,,2.7,2,474(-2),[西] 安田隆行
1,2,5,6,ビッグシーザー,牡2,54,松山弘平,1:08.4,3,2.3,1,492(-8),[西] 西園正都
2,3,5,7,バールデュヴァン,牡2,54,西村淳也,1:08.8,2,34.9,8,504(-2),[西] 浜田多実
3,4,6,9,スーサンベガ,牝2,54,和田竜二,1:09.0,1.1/2,64.0,10,424(-4),[西] 鈴木孝志
4,5,6,8,イナウィンク,牡2,54,福永祐一,1:09.1,1/2,17.9,5,428(0),[西] 新谷功一
5,6,3,3,パーペチュアル,牡2,54,北村友一,1:09.1,ハナ,20.6,6,478(-2),[西] 宮本博
6,7,4,5,ソフィアエール,牝2,50,今村聖奈,1:09.3,1.1/4,7.4,3,414(-4),[西] 杉山晴紀
7,8,8,12,フレッチャネーラ,牡2,54,高倉稜,1:09.5,1.1/4,273.1,13,466(0),[西] 荒川義之
8,9,8,13,ニシノコウダイ,牡2,54,富田暁,1:09.9,2.1/2,14.3,4,474(+6),[西] 長谷川浩
9,10,4,4,タマモメガジョッキ,牡2,51,角田大河,1:09.9,クビ,32.8,7,462(-6),[西] 南井克巳
10,11,7,10,ゼンノエヴェック,牡2,50,永島まな,1:10.4,3,260.2,12,472(-6),[東] 小手川準
11,12,2,2,コスモアリス,牝2,52,松本大輝,1:12.6,大,63.4,9,428(-4),[西] 吉田直弘
12,13,1,1,エイヨーチャクラ,牝2,53,亀田温心,1:13.5,5,164.1,11,442(+4),[西] 牧田和弥
