,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,3,5,コルカノン,牝3,54,西村淳也,1:07.7,,8.7,5,446(-2),[西] 吉岡辰弥
1,2,8,17,クリノオスカル,牝3,51,角田大河,1:07.8,クビ,12.2,7,420(+4),[西] 大橋勇樹
2,3,3,6,テイエムラトーヌ,牝3,50,今村聖奈,1:07.8,ハナ,7.7,4,416(-14),[西] 飯田雄三
3,4,7,13,マーブルファクター,牝3,50,永島まな,1:08.1,1.3/4,30.7,10,484(-2),[西] 西園正都
4,5,1,2,ショウナンナージャ,牝3,54,富田暁,1:08.1,クビ,10.8,6,442(+2),[西] 池添兼雄
5,6,7,15,クリノガイア,牝3,54,国分恭介,1:08.2,クビ,213.6,17,426(+6),[西] 大根田裕
6,7,8,18,テイケイアンジェ,牝3,54,田中健,1:08.2,ハナ,105.5,13,480(0),[西] 荒川義之
7,8,7,14,インペリアス,牝3,54,藤岡康太,1:08.3,1,5.4,2,446(+6),[西] 中村直也
8,9,4,8,トウカイエクラン,牝3,54,北村友一,1:08.3,ハナ,3.3,1,440(-6),[西] 茶木太樹
9,10,1,1,パールアゲイン,牝3,54,川須栄彦,1:08.4,クビ,122.3,14,408(-6),[西] 中尾秀正
10,11,2,3,ファイアーコード,牝3,51,服部寿希,1:08.4,アタマ,53.0,11,412(-12),[西] 平田修
11,12,6,11,メイショウアルル,牝3,53,亀田温心,1:08.4,アタマ,124.2,15,426(+18),[西] 笹田和秀
12,13,2,4,サンマルヴァレー,牝3,54,酒井学,1:08.4,ハナ,16.6,8,462(0),[西] 千田輝彦
13,14,4,7,ルクスリリー,牝3,54,国分優作,1:08.5,3/4,255.2,18,408(-4),[西] 松永幹夫
14,15,8,16,クリノニーナ,牝3,54,ホー,1:08.6,クビ,26.2,9,418(-10),[西] 高橋義忠
15,16,5,10,マテンロウサニー,牝3,54,横山典弘,1:08.6,クビ,6.7,3,452(+10),[西] 昆貢
16,17,5,9,トイムム,牝3,54,団野大成,1:08.6,ハナ,58.5,12,452(-4),[西] 飯田祐史
17,18,6,12,コイビトミサキ,牝3,52,松本大輝,1:08.7,3/4,211.3,16,398(-10),[西] 飯田雄三
