,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,8,10,オバケノキンタ,牡2,54,松山弘平,1:08.8,,1.8,1,438(0),[西] 大根田裕
1,2,5,5,セロンテソーロ,牝2,50,永島まな,1:09.3,2.1/2,62.2,7,418(-4),[東] 加藤和宏
2,3,6,6,エイヨーチャクラ,牝2,53,亀田温心,1:09.4,3/4,100.7,9,438(+8),[西] 牧田和弥
3,4,4,4,ベルボールドナイン,牡2,50,今村聖奈,1:09.4,クビ,4.6,2,460(0),[東] 菊沢隆徳
4,5,3,3,カシノスターリング,牡2,51,角田大河,1:09.6,3/4,29.6,5,462(+2),[東] 天間昭一
5,6,7,8,コウユーオモイノセ,牡2,54,団野大成,1:09.6,クビ,5.8,3,472(+4),[西] 斉藤崇史
6,7,1,1,テイエムハヤカケン,牡2,54,富田暁,1:10.4,5,42.9,6,496(+2),[西] 木原一良
7,8,2,2,キリシマラッキー,牡2,54,城戸義政,1:10.5,1/2,67.1,8,438(-6),[東] 石毛善彦
8,9,8,9,カシノサヴィ,牝2,54,幸英明,1:11.1,4,5.9,4,420(-10),[西] 谷潔
9,10,7,7,テイエムイッキュウ,セ2,51,服部寿希,1:12.4,8,188.5,10,414(0),[西] 杉山晴紀
