,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,7,9,ハリーバローズ,牡5,57,川田将雅,1:07.3,,2.5,1,482(0),[西] 上村洋行
1,2,6,7,グランレイ,牡5,57,川須栄彦,1:07.4,クビ,12.5,6,466(-8),[西] 池添学
2,3,7,10,グッドマックス,牝5,55,森裕太朗,1:07.4,クビ,26.0,9,464(-2),[西] 小林真也
3,4,5,5,セリシア,牝4,55,和田竜二,1:07.5,1/2,9.4,5,466(+4),[西] 中竹和也
4,5,5,6,ルクルト,牡5,57,藤岡康太,1:07.5,クビ,9.3,4,462(-4),[西] 吉村圭司
5,6,3,3,オルダージュ,セ6,57,団野大成,1:07.8,1.1/2,22.1,8,472(-2),[東] 青木孝文
6,7,6,8,メメントモリ,牝5,55,ホー,1:07.9,3/4,14.3,7,468(-2),[西] 浜田多実
7,8,8,12,ダノンシティ,牡6,57,西村淳也,1:07.9,ハナ,6.3,3,482(+2),[西] 橋口慎介
8,9,1,1,クリノアリエル,牝7,55,酒井学,1:08.0,3/4,38.5,10,424(+6),[西] 武英智
9,10,4,4,タイガーサイレンス,牡5,57,国分優作,1:08.0,アタマ,96.9,11,448(-6),[西] 大橋勇樹
10,11,8,11,ローウェル,セ4,57,北村友一,1:08.1,クビ,4.5,2,530(-4),[西] 斉藤崇史
11,12,2,2,チェリーブリーズ,牝5,55,松本大輝,1:08.3,1,267.5,12,476(0),[東] 堀内岳志
