,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,8,16,トーホウラビアン,牝3,52,富田暁,1:07.8,,61.9,14,402(-2),[西] 川村禎彦
1,2,6,11,テーオースパロー,牡3,54,ホー,1:07.8,ハナ,5.5,3,486(+2),[西] 清水久詞
2,3,7,13,アキバ,牝3,52,高倉稜,1:07.9,1/2,21.8,7,424(+2),[西] 田中克典
3,4,3,5,クァンタムレルム,牝4,55,角田大河,1:08.0,1/2,33.3,10,468(+8),[西] 石橋守
4,5,8,17,マイネルヘルト,牡5,57,団野大成,1:08.1,クビ,132.2,15,424(-4),[西] 西園正都
5,6,6,12,プラウドルック,牝4,55,幸英明,1:08.2,1/2,34.7,11,450(-4),[西] 茶木太樹
6,7,4,7,ヨシノイースター,牡4,57,藤岡康太,1:08.3,1/2,2.3,1,472(-4),[西] 中尾秀正
7,8,5,9,アスターディゴン,牡3,54,福永祐一,1:08.4,3/4,5.2,2,476(0),[西] 中竹和也
8,9,1,1,エコロキング,牡4,57,国分恭介,1:08.5,3/4,42.3,13,448(0),[西] 牧浦充徳
9,10,8,18,ファタリテ,牡6,57,国分優作,1:08.5,アタマ,298.8,18,446(-6),[西] 大根田裕
10,11,1,2,ベンガン,牡5,57,松山弘平,1:08.5,ハナ,18.7,6,470(+12),[西] 千田輝彦
11,12,4,8,スズカワールド,牡3,54,田中勝春,1:08.6,クビ,28.7,8,490(-12),[西] 大橋勇樹
12,13,3,6,アドヴァイス,牝3,52,松若風馬,1:08.8,1,12.5,4,458(+10),[西] 石坂公一
13,14,7,14,リパリス,牝4,55,今村聖奈,1:08.8,クビ,42.1,12,456(+8),[西] 寺島良
14,15,7,15,チカリヨン,牝4,55,横山典弘,1:08.8,クビ,14.3,5,498(+18),[西] 松永幹夫
15,16,2,3,ノーセキュリティ,牡5,57,北村友一,1:08.9,3/4,211.4,17,472(+2),[西] 飯田祐史
16,17,2,4,グラストンベリー,牝3,52,荻野極,1:09.2,1.3/4,183.5,16,410(-12),[西] 藤岡健一
17,18,5,10,リンドラゴ,牡3,54,西村淳也,1:09.8,3.1/2,32.6,9,480(+4),[西] 高野友和
