,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,7,13,スウィートスカー,牝3,54,川田将雅,1:45.6,,2.2,1.0,468(-4),[西] 鮫島一歩
1,2,1,2,エスポワールエール,牡3,56,ホー,1:45.8,1.1/4,10.1,5.0,490(-4),[西] 高野友和
2,3,2,3,ブラッドワイルド,牡3,56,藤岡康太,1:45.9,3/4,25.0,6.0,506(+2),[西] 野中賢二
3,4,6,11,アールフォルス,牝3,54,松若風馬,1:46.0,クビ,5.8,4.0,456(+2),[西] 橋口慎介
4,5,3,6,ティーフォートゥー,牝3,54,横山典弘,1:46.2,1.1/2,51.6,8.0,430(+10),[西] 安田翔伍
5,6,5,9,スマートドラフト,牝3,54,秋山真一,1:46.6,2,5.5,3.0,432(+2),[西] 石橋守
6,7,1,1,ホウオウカントリー,牝3,54,岡田祥嗣,1:46.6,アタマ,295.0,14.0,446(+14),[西] 安田翔伍
7,8,3,5,フォールロワ,牡3,54,松本大輝,1:46.6,クビ,116.6,11.0,448(+4),[西] 四位洋文
8,9,4,7,アオイゴールドワン,牡3,56,団野大成,1:46.7,クビ,4.8,2.0,466(-2),[西] 清水久詞
9,10,8,15,イズジョーアーサー,牡3,56,富田暁,1:46.8,1,26.7,7.0,476(-4),[西] 武英智
10,11,7,14,テーオーライラ,牝3,54,幸英明,1:47.0,1,346.5,15.0,448(-2),[西] 吉岡辰弥
11,12,5,10,バリューテーラー,牝3,54,西村淳也,1:47.3,1.1/2,54.6,9.0,426(+6),[西] 森田直行
12,13,6,12,クールドレーヌ,牝3,51,川端海翼,1:48.0,4,216.4,12.0,402(-2),[西] 羽月友彦
13,14,2,4,スージーテイラー,牝3,50,今村聖奈,1:48.5,3,64.8,10.0,418(-22),[西] 奥村豊
14,15,8,16,アジュール,牝3,52,小沢大仁,1:49.9,9,251.7,13.0,430(+6),[西] 今野貞一
15,取,4,8,エイシンクリード,牝3,54,北村友一,,,---,,計不,[西] 中尾秀正
