,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,4,4,グレートバローズ,牡5,60,高田潤,3:11.3,,1.5,1,480(+10),[西] 辻野泰之
1,2,2,2,メイショウシャガ,牡5,57,小牧加矢,3:11.5,1.1/2,15.1,4,514(-6),[西] 池添兼雄
2,3,3,3,ウインガヴァナー,牡4,60,平沢健治,3:11.8,1.3/4,12.1,3,502(-2),[西] 西園正都
3,4,6,6,メイショウヤシャ,牡6,60,森一馬,3:12.1,1.1/2,3.1,2,470(-2),[西] 南井克巳
4,5,1,1,スリーケイエヌ,牡4,60,北沢伸也,3:12.6,3,22.7,5,484(+4),[西] 藤沢則雄
5,6,8,9,ララロトリー,セ5,60,黒岩悠,3:13.2,3.1/2,41.2,8,462(+8),[西] 坂口智康
6,7,5,5,トモノコテツ,牡7,60,難波剛健,3:13.6,2.1/2,28.0,6,466(-14),[西] 浜田多実
7,8,7,8,ワンダーサーイター,牡5,60,草野太郎,3:13.9,1.3/4,65.6,9,470(+6),[東] 畠山吉宏
8,9,8,10,シャトースウィフト,牡3,58,大江原圭,3:15.3,8,97.8,10,482(+4),[東] 蛯名利弘
9,10,7,7,テイエムリオン,牡4,60,中村将之,3:20.5,大,32.8,7,484(+4),[西] 浜田多実
