,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,8,18,エイシンスポッター,牡3,55,角田大河,1:07.7,,6.0,2,488(+4),[西] 吉村圭司
1,2,3,6,シゲルカチョウ,牝4,55,酒井学,1:07.9,1.1/4,9.9,6,498(+2),[西] 高橋康之
2,3,1,2,ジャストザビアンカ,牝4,55,国分恭介,1:08.0,1/2,58.9,17,460(+2),[西] 牧浦充徳
3,4,1,1,メイショウハボタン,牝4,55,泉谷楓真,1:08.1,1/2,48.3,15,452(+2),[西] 南井克巳
4,5,6,11,アルトシュタット,牡3,55,松山弘平,1:08.1,クビ,7.9,3,466(+4),[西] 安田翔伍
5,6,5,9,ジュストコル,牡4,57,西村淳也,1:08.1,ハナ,9.0,4,512(+4),[西] 大久保龍
6,7,7,14,トーホウラビアン,牝3,53,北村友一,1:08.2,アタマ,30.2,12,408(+6),[西] 川村禎彦
7,8,7,13,ジューンベロシティ,牡4,57,富田暁,1:08.2,クビ,26.8,10,470(+2),[西] 武英智
8,9,2,4,カーフライターク,牡5,57,福永祐一,1:08.2,ハナ,15.5,8,478(+2),[西] 田中克典
9,10,4,8,アルムファーツリー,牝4,55,和田竜二,1:08.3,1/2,46.3,14,448(-4),[西] 川村禎彦
10,11,5,10,ロングファイナリー,セ6,57,太宰啓介,1:08.3,クビ,41.2,13,466(-2),[西] 高橋亮
11,12,8,16,チャイカ,牝5,55,団野大成,1:08.3,ハナ,21.6,9,478(0),[西] 今野貞一
12,13,6,12,デュガ,牡3,55,武豊,1:08.3,ハナ,9.5,5,490(+4),[西] 森秀行
13,14,3,5,クープドクール,牝4,55,松本大輝,1:08.3,ハナ,57.6,16,462(-2),[西] 高橋義忠
14,15,4,7,カイカノキセキ,牝3,53,坂井瑠星,1:08.4,クビ,4.5,1,494(+2),[西] 池添学
15,16,8,17,テーオーディエス,牝4,55,鮫島良太,1:08.4,クビ,28.9,11,448(+4),[西] 宮徹
16,17,2,3,ファイアーボーラー,セ6,57,秋山真一,1:08.4,ハナ,92.7,18,470(-2),[西] 武幸四郎
17,18,7,15,カジュフェイス,牡3,55,今村聖奈,1:08.7,1.1/2,10.2,7,480(+6),[西] 森田直行
