,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,5,8,クァンタムレルム,牝4,52,角田大河,1:08.8,,5.0,3,470(+2),[西] 石橋守
1,2,6,10,ナリタローゼ,牝4,55,酒井学,1:08.8,ハナ,10.9,6,476(-2),[西] 高橋亮
2,3,3,4,ヤマニンアンフィル,牝3,49,今村聖奈,1:08.8,アタマ,4.8,2,456(+4),[西] 斉藤崇史
3,4,8,15,マメコ,牝3,53,富田暁,1:08.9,1/2,7.8,4,448(+2),[西] 武英智
4,5,2,3,エクロール,牝3,53,和田竜二,1:09.0,1/2,4.7,1,432(+10),[西] 長谷川浩
5,6,5,9,テンジュイン,牝5,55,松若風馬,1:09.0,クビ,29.1,11,460(+10),[西] 千田輝彦
6,7,4,7,イッツユアタイム,牝4,55,坂井瑠星,1:09.2,1.1/4,16.5,9,452(-8),[西] 安田隆行
7,8,7,12,プラウドルック,牝4,53,松本大輝,1:09.3,1/2,14.8,7,446(-4),[西] 茶木太樹
8,9,8,14,アキバ,牝3,53,高倉稜,1:09.5,1.1/4,8.5,5,428(+4),[西] 田中克典
9,10,4,6,タムロキュラムン,牝3,49,永島まな,1:09.6,3/4,26.2,10,440(-2),[西] 西園正都
10,11,1,1,ニューノーマル,牝3,53,松山弘平,1:09.7,1/2,16.5,8,462(+2),[西] 武幸四郎
11,12,7,13,ミエリ,牝4,54,小沢大仁,1:09.7,ハナ,94.2,13,382(-10),[西] 藤岡健一
12,13,2,2,オウケンミッキー,牝3,53,国分優作,1:09.8,3/4,100.0,14,446(0),[西] 牧浦充徳
13,14,6,11,メイショウナスカ,牝7,52,服部寿希,1:10.1,1.3/4,74.8,12,486(+4),[西] 高橋亮
14,15,3,5,メイショウボヤージ,牝3,53,田中健,1:10.3,1,199.2,15,464(-4),[西] 荒川義之
