,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,3,5,リノアラ,牝3,53,小沢大仁,1:47.2,,11.4,6,426(0),[西] 今野貞一
1,2,4,7,フェルンマンボ,牝3,53,亀田温心,1:47.3,1,10.5,5,476(-4),[西] 辻野泰之
2,3,1,1,アルファカリーナ,牝3,54,北村友一,1:47.5,1,2.6,1,428(+2),[西] 池添学
3,4,8,16,ポットマム,牝3,54,幸英明,1:47.7,1.1/4,4.2,2,466(-2),[西] 田中克典
4,5,5,9,メイショウジェゼロ,牝3,51,角田大河,1:48.3,4,17.4,7,452(-12),[西] 石橋守
5,6,1,2,ブロセリアンド,牝3,54,和田竜二,1:48.5,1.1/4,35.5,9,488(+24),[西] 高橋義忠
6,7,7,14,バリオーレ,牝3,54,太宰啓介,1:48.7,1.1/4,89.6,12,444(+4),[西] 上村洋行
7,8,2,3,スーサンユッセ,牝3,54,小牧太,1:49.0,1.3/4,97.1,13,462(+2),[西] 笹田和秀
8,9,7,13,ヴァラダムドラー,牝3,54,鮫島克駿,1:49.1,3/4,32.8,8,530(+14),[西] 松下武士
9,10,8,15,サルセル,牝3,54,川須栄彦,1:49.3,1,273.5,14,476(-4),[西] 茶木太樹
10,11,3,6,モズベイパーコーン,牝3,54,藤岡佑介,1:49.4,クビ,6.6,3,488(-2),[西] 藤岡健一
11,12,4,8,リサディーン,牝3,50,永島まな,1:49.4,クビ,73.8,11,420(0),[西] 橋口慎介
12,13,6,12,オーマイラヴアスク,牝3,52,松本大輝,1:49.5,クビ,375.9,16,474(-2),[西] 河内洋
13,14,6,11,クリノキューチャン,牝3,54,国分優作,1:49.9,2.1/2,373.0,15,462(0),[西] 坂口智康
14,15,5,10,デミ,牝3,54,西村淳也,1:50.0,1/2,7.1,4,422(+4),[西] 小林真也
15,16,2,4,チュウワチャーム,牝3,54,松若風馬,1:56.2,大,73.8,10,460(0),[西] 小崎憲
