,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,4,6,クリノドラゴン,牡4,57,武豊,1:44.7,,12.9,7,482(0),[西] 大橋勇樹
1,2,7,12,ロードインファイト,牡5,57,富田暁,1:44.8,1,31.8,9,452(+2),[西] 野中賢二
2,3,8,14,サトノロイヤル,牡4,57,和田竜二,1:44.9,クビ,7.3,3,506(-2),[西] 南井克巳
3,4,3,3,コパノニコルソン,牡3,54,泉谷楓真,1:44.9,ハナ,2.8,1,508(+8),[西] 宮徹
4,5,7,11,フィロロッソ,牡5,57,福永祐一,1:45.0,3/4,4.3,2,480(0),[西] 中竹和也
5,6,5,7,ハンディーズピーク,牡4,57,坂井瑠星,1:45.2,1,10.4,6,514(+2),[西] 大久保龍
6,7,6,9,ダッチマン,セ5,57,団野大成,1:45.2,ハナ,88.1,11,464(+8),[西] 音無秀孝
7,8,6,10,エターナリー,牡5,57,西村淳也,1:45.2,ハナ,20.9,8,454(+4),[西] 辻野泰之
8,9,3,4,ラボエーム,牝5,55,国分優作,1:45.7,3,7.6,4,452(-4),[西] 大根田裕
9,10,8,13,リリーミニスター,セ5,57,松山弘平,1:45.8,3/4,9.5,5,466(-6),[西] 池添兼雄
10,11,5,8,ギブミーラブ,牝4,55,北村友一,1:45.8,ハナ,96.1,12,480(0),[西] 藤岡健一
11,12,1,1,タイセイアゲイン,牡4,57,小沢大仁,1:45.9,1/2,76.2,10,472(+8),[西] 松下武士
12,13,4,5,ウインダークローズ,牡5,57,国分恭介,1:46.3,2.1/2,159.0,14,492(+6),[西] 梅田智之
13,14,2,2,メイショウロセツ,牡7,57,角田大河,1:48.0,10,133.9,13,496(-4),[西] 河内洋
