,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,8,13,シルフィードレーヴ,牝2,54,幸英明,1:08.5,,43.8,10,434(0),[西] 西園正都
1,2,6,10,キタサンエルピス,牝2,54,荻野極,1:08.7,1.1/4,89.8,14,470(0),[西] 本田優
2,3,5,8,オーサムサンライズ,牝2,54,松若風馬,1:08.9,1.1/2,22.3,7,404(0),[西] 石坂公一
3,4,7,12,アスターフラッペ,牝2,54,富田暁,1:09.0,クビ,19.5,6,430(0),[西] 南井克巳
4,5,7,11,ライジングホープ,牝2,54,ホー,1:09.1,1/2,2.6,1,412(0),[西] 松下武士
5,6,6,9,ジャストザヴァルス,牝2,51,角田大河,1:09.1,クビ,40.6,8,410(0),[西] 牧浦充徳
6,7,3,4,エフボマ,牝2,54,長岡禎仁,1:09.1,ハナ,78.6,13,450(0),[西] 高橋亮
7,8,4,5,ミンクス,牝2,52,松本大輝,1:09.2,1/2,42.6,9,408(0),[西] 加用正
8,9,3,3,アムブロシアー,牝2,54,和田竜二,1:09.3,3/4,3.2,2,428(0),[西] 大久保龍
9,10,2,2,グランツベリー,牝2,54,北村友一,1:09.3,ハナ,17.1,5,438(0),[西] 田中克典
10,11,5,7,フローラルハニー,牝2,54,横山典弘,1:09.7,2.1/2,53.9,11,460(0),[西] 高橋康之
11,12,4,6,カラフルラグーン,牝2,50,今村聖奈,1:09.8,1/2,8.8,3,422(0),[西] 茶木太樹
12,13,8,14,キセキニャン,牝2,54,川須栄彦,1:10.1,1.1/2,54.7,12,432(0),[西] 小林真也
13,14,1,1,マルカラピッド,牝2,52,小沢大仁,1:10.4,2,9.3,4,464(0),[西] 今野貞一
