,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,7,7,フラッシングレート,牝2,54,和田竜二,1:47.4,,3.4,2,464(-4),[西] 音無秀孝
1,2,2,2,コウエイダイヤ,牝2,50,今村聖奈,1:47.9,3,1.9,1,498(0),[西] 新谷功一
2,3,1,1,エスペランサフラグ,牝2,54,幸英明,1:48.3,2.1/2,5.4,3,444(-16),[西] 中竹和也
3,4,4,4,タイキクラージュ,牡2,50,永島まな,1:49.1,5,31.2,5,442(0),[西] 谷潔
4,5,5,5,モンテナルス,牝2,54,北村友一,1:49.5,2.1/2,35.7,6,438(+2),[西] 中尾秀正
5,6,6,6,エイシンエラン,牡2,54,藤岡康太,1:49.9,2.1/2,8.5,4,450(-14),[西] 大久保龍
6,7,3,3,カシノラシット,牝2,51,川端海翼,1:51.8,大,244.2,8,444(-10),[東] 和田雄二
7,8,8,8,ジョウショーポーラ,牝2,54,高倉稜,1:52.7,5,141.6,7,454(-2),[西] 服部利之
