,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,1,1,アドマイヤザーゲ,牡4,57,和田竜二,1:47.3,,4.3,2,500(0),[西] 友道康夫
1,2,4,4,オラヴェリタス,牡3,54,今村聖奈,1:47.4,3/4,12.4,4,498(+2),[西] 寺島良
2,3,2,2,ヤマニンサルバム,牡3,54,藤岡康太,1:47.6,1.1/4,1.4,1,490(-12),[西] 中村直也
3,4,5,5,ラブアンバサダー,牝5,55,横山典弘,1:47.6,アタマ,8.0,3,432(+2),[西] 松永幹夫
4,5,7,7,シーリアスラブ,牡6,57,荻野極,1:48.1,3,13.7,5,458(-12),[西] 杉山佳明
5,6,6,6,サイモンルモンド,セ5,57,幸英明,1:48.7,4,64.1,7,444(+4),[西] 小林真也
6,7,8,8,ラストアプローズ,牝4,55,松本大輝,1:49.3,3.1/2,166.0,8,470(-6),[東] 堀内岳志
7,8,3,3,クラーベドラド,牡3,54,西村淳也,1:49.5,1.1/2,33.9,6,494(+12),[西] 小崎憲
