,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,6,7,ヴェルテンベルク,牡2,54,西村淳也,1:48.3,,2.1,1,480(-2),[西] 宮本博
1,2,4,4,モズマーカッシン,牡2,54,坂井瑠星,1:48.5,1.1/2,6.9,3,430(-6),[西] 高柳大輔
2,3,8,11,ノエマ,牡2,54,松山弘平,1:48.5,アタマ,7.5,4,486(-10),[西] 平田修
3,4,3,3,ベッピンサン,牝2,54,和田竜二,1:48.9,2.1/2,31.9,5,496(+8),[西] 小崎憲
4,5,7,9,クリノマイスター,牡2,54,団野大成,1:49.1,1.1/4,353.9,10,468(+2),[西] 中尾秀正
5,6,1,1,アマートカヴァロ,牡2,51,角田大河,1:49.1,ハナ,75.7,7,468(0),[西] 南井克巳
6,7,7,8,スナークドリアン,牡2,54,松若風馬,1:49.1,ハナ,131.9,9,512(-6),[西] 川村禎彦
7,8,6,6,コウエイダイヤ,牝2,50,今村聖奈,1:49.8,4,2.8,2,496(-2),[西] 新谷功一
8,9,2,2,コスモシーウルフ,牡2,54,国分優作,1:51.0,7,34.2,6,464(+2),[西] 吉田直弘
9,10,8,10,プリティジェニー,牝2,52,松本大輝,1:52.4,8,111.6,8,414(+2),[西] 西村真幸
10,11,5,5,ハクアイゼウス,牡2,53,小沢大仁,1:53.4,6,365.6,11,452(-8),[西] 松永昌博
