,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,7,7,メイショウヒュウガ,牡2,54,松山弘平,1:08.3,,12.3,5,476(0),[西] 安達昭夫
1,2,4,4,ジュンウィンダム,牝2,54,富田暁,1:08.5,1.1/4,21.8,6,472(0),[西] 浜田多実
2,3,6,6,ビッグシーザー,牡2,54,幸英明,1:08.7,3/4,2.1,1,500(0),[西] 西園正都
3,4,1,1,マヒート,牡2,54,藤岡康太,1:09.8,7,8.1,4,452(0),[西] 高橋義忠
4,5,5,5,ルクスメテオール,牡2,51,角田大河,1:09.9,1/2,4.9,3,464(0),[西] 小林真也
5,6,2,2,キャロルビアンカ,牝2,54,田中健,1:12.2,大,37.5,7,466(0),[西] 荒川義之
6,7,8,8,シゲルスゴウデ,牡2,50,永島まな,1:12.5,1.1/2,53.2,8,456(0),[西] 高橋康之
7,8,3,3,フルオブプレイズ,牡2,50,今村聖奈,1:12.8,2,4.1,2,468(0),[西] 小林真也
