,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,5,10,レディーシス,牝3,54,西村淳也,1:58.9,,32.8,7.0,412(+6),[西] 小崎憲
1,2,2,3,ギルトレターズ,牡3,56,松若風馬,1:59.1,1.1/4,38.4,9.0,478(0),[西] 安達昭夫
2,3,4,7,マノンルージュ,牡3,56,藤岡康太,1:59.3,1.1/4,3.7,2.0,468(+2),[西] 野中賢二
3,4,6,12,ベガエクスプレス,牝3,54,中井裕二,1:59.3,ハナ,59.0,11.0,424(0),[西] 鈴木孝志
4,5,5,9,タケトンボ,牝3,50,今村聖奈,1:59.3,ハナ,3.3,1.0,430(0),[西] 飯田雄三
5,6,2,4,サウンドエトワール,牝3,54,国分優作,1:59.3,アタマ,5.6,3.0,446(+4),[西] 渡辺薫彦
6,7,8,16,サトノソラーレ,牡3,56,ホー,1:59.4,1/2,12.9,6.0,432(-2),[西] 矢作芳人
7,8,7,13,ハイグッドエース,牡3,56,幸英明,2:00.0,3.1/2,7.6,4.0,428(-2),[西] 大根田裕
8,9,8,18,ヤマニンリリアーナ,牝3,54,高倉稜,2:00.4,2.1/2,190.1,16.0,490(+4),[西] 田中克典
9,10,3,6,ヒルノデプラーツ,牡3,55,亀田温心,2:00.5,3/4,113.9,15.0,478(+8),[西] 北出成人
10,11,8,17,ショウナンパラボラ,牡3,56,団野大成,2:00.8,2,8.2,5.0,426(0),[西] 吉村圭司
11,12,3,5,ビートルジュース,牝3,54,加藤祥太,2:01.2,2.1/2,34.6,8.0,414(-4),[西] 羽月友彦
12,13,7,14,サンデーブライアン,牡3,53,服部寿希,2:01.5,2,240.0,17.0,426(-4),[西] 新谷功一
13,14,1,2,アスクオーマイキー,牡3,53,角田大河,2:01.9,2,47.5,10.0,488(+2),[西] 河内洋
14,15,4,8,エイシンルミエール,牝3,50,永島まな,2:02.1,1.1/4,66.9,12.0,484(+14),[西] 高橋康之
15,16,1,1,メイショウサキガケ,牡3,56,田中健,2:02.7,3.1/2,90.6,13.0,444(-4),[西] 荒川義之
16,除,6,11,モンサンプリーモ,牝3,54,松山弘平,,,---,,488(+6),[西] 中竹和也
17,中,7,15,マテンロウシリウス,牡3,56,横山典弘,,,103.7,14.0,496(-6),[西] 松永幹夫
