,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,6,9,アサクサゲンキ,セ7,60,石神深一,3:43.2,,2.9,1,462(-2),[西] 音無秀孝
1,2,1,1,メイショウウチデ,牡6,60,小坂忠士,3:43.3,クビ,3.8,2,464(-8),[西] 南井克巳
2,3,6,8,マサハヤドリーム,セ10,60,森一馬,3:43.4,3/4,21.1,6,466(+10),[西] 今野貞一
3,4,7,11,ポルトラーノ,セ6,60,草野太郎,3:43.7,1.3/4,5.0,3,496(+4),[東] 萩原清
4,5,5,7,テイエムタツマキ,牡4,60,黒岩悠,3:43.9,1,23.1,8,494(-4),[西] 武英智
5,6,7,10,テリオスルイ,牡4,60,中村将之,3:43.9,ハナ,43.6,10,460(-12),[西] 松下武士
6,7,4,5,シャイニーゲール,牡8,60,小牧加矢,3:45.0,7,9.2,4,478(+2),[西] 五十嵐忠
7,8,8,13,メイショウユウスイ,牡4,60,西谷誠,3:45.1,1/2,21.3,7,450(+8),[西] 飯田祐史
8,9,2,2,シャイニーズラン,牡5,60,平沢健治,3:46.1,6,66.1,12,454(-4),[西] 森田直行
9,10,3,3,クラウンディバイダ,セ9,60,伴啓太,3:46.4,1.3/4,44.8,11,464(-2),[東] 天間昭一
10,11,8,12,グランソード,牡7,60,難波剛健,3:48.0,10,104.2,13,568(0),[西] 高野友和
11,中,4,4,クライムメジャー,牡8,60,植野貴也,,,9.2,5,522(+2),[西] 渡辺薫彦
12,中,5,6,マイネルプロンプト,セ10,60,白浜雄造,,,37.6,9,472(-6),[西] 坂口智康
