,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,2,2,サジェス,牡4,57,団野大成,1:47.3,,14.2,6,434(-4),[西] 中尾秀正
1,2,5,8,アスクコンナモンダ,牡3,54,西村淳也,1:47.6,1.3/4,1.9,1,444(+8),[西] 中内田充
2,3,3,4,スタティスティクス,牝3,52,和田竜二,1:48.2,3.1/2,8.6,4,434(-4),[西] 石坂公一
3,4,6,10,パーサヴィアランス,牡3,54,松山弘平,1:48.3,クビ,5.6,2,456(+2),[西] 西村真幸
4,5,3,3,サトノヴィーナス,牝5,54,亀田温心,1:48.3,クビ,37.8,8,476(-4),[西] 平田修
5,6,5,7,モズタンジロウ,牡3,54,富田暁,1:48.5,1,28.2,7,480(-4),[西] 牧田和弥
6,7,8,14,メトセラ,牡3,54,坂井瑠星,1:48.6,1/2,8.6,3,484(+4),[西] 矢作芳人
7,8,8,13,マックスブロケイド,牝6,52,角田大河,1:48.6,アタマ,172.1,14,426(+8),[西] 笹田和秀
8,9,7,11,クーファイザナミ,牝5,54,小沢大仁,1:48.7,1,61.8,12,418(0),[東] 小手川準
9,10,7,12,ヒルノエドワード,牡5,57,酒井学,1:48.8,クビ,49.7,10,478(+2),[西] 昆貢
10,11,1,1,プリティユニバンス,牝5,55,藤懸貴志,1:49.0,1.1/4,38.0,9,460(+6),[西] 村山明
11,12,4,5,ルヴァンノワール,牝4,51,今村聖奈,1:49.0,クビ,11.6,5,436(-2),[西] 庄野靖志
12,13,4,6,ジャカランダ,牡3,54,北村友一,1:51.9,大,59.6,11,568(-2),[西] 河内洋
13,14,6,9,リュミエールノワル,牡3,50,永島まな,1:52.5,3.1/2,83.0,13,474(+4),[西] 松永幹夫
