,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,7,12,ハイエストポイント,牡4,53,今村聖奈,1:43.8,,2.6,1,452(-2),[西] 鈴木孝志
1,2,5,8,ケイアイメビウス,牡3,54,藤懸貴志,1:44.7,5,12.5,6,506(-2),[西] 村山明
2,3,1,1,エピックジョイ,牝3,49,角田大河,1:45.2,3,8.9,4,486(-4),[西] 武幸四郎
3,4,3,4,エルバリオ,牡3,54,松山弘平,1:45.4,1.1/4,4.4,2,528(+12),[西] 高野友和
4,5,5,7,ロードグリュック,牡5,57,川須栄彦,1:45.6,3/4,168.3,12,462(-7),[西] 松下武士
5,6,6,10,トップスターサン,牡4,57,北村友一,1:45.6,クビ,22.9,8,510(-2),[西] 四位洋文
6,7,4,6,シゲルカセイ,牡5,57,富田暁,1:45.7,1/2,22.7,7,496(-6),[西] 谷潔
7,8,3,3,パナプリ,牡4,56,亀田温心,1:45.7,ハナ,273.3,14,440(+2),[西] 牧田和弥
8,9,4,5,アルムマッツ,牡3,51,服部寿希,1:46.1,2.1/2,88.9,10,490(+10),[西] 中竹和也
9,10,8,13,ウナギノボリ,牡3,54,和田竜二,1:46.1,クビ,4.8,3,464(-2),[西] 音無秀孝
10,11,6,9,メイショウカリスマ,牡5,55,松本大輝,1:46.2,クビ,147.1,11,510(+4),[西] 高橋亮
11,12,2,2,レディアリエス,牝4,55,坂井瑠星,1:46.2,アタマ,25.9,9,492(+20),[西] 橋口慎介
12,13,7,11,モズゴールドバレル,牝3,51,小沢大仁,1:48.3,大,11.1,5,444(-16),[西] 藤岡健一
13,14,8,14,スズカノアイル,牡3,54,団野大成,1:52.7,大,205.0,13,476(+6),[西] 吉村圭司
