,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,2,4,アドマイヤラヴィ,牝3,50,今村聖奈,1:08.4,,2.1,1,472(+6),[西] 友道康夫
1,2,3,5,エイシングリュック,牡3,55,小沢大仁,1:08.7,1.3/4,10.9,5,482(+4),[西] 今野貞一
2,3,6,11,シュガーフロート,牝3,50,永島まな,1:08.7,アタマ,4.9,2,418(+6),[西] 高柳大輔
3,4,8,17,ハルカナネガイ,牝3,54,秋山真一,1:08.8,1/2,6.7,3,410(+2),[西] 畑端省吾
4,5,3,6,ジョーリベリカ,牡3,56,城戸義政,1:08.9,3/4,10.4,4,454(-2),[西] 清水久詞
5,6,8,15,トーホウオリオン,牡3,56,長岡禎仁,1:09.0,3/4,60.3,11,466(-4),[西] 高橋亮
6,7,6,12,オウケンミッキー,牝3,51,角田大河,1:09.0,クビ,26.5,7,446(+2),[西] 牧浦充徳
7,8,8,16,ミスオタワ,牝3,54,加藤祥太,1:09.0,ハナ,49.6,10,454(+6),[西] 杉山晴紀
8,9,5,10,ベルシャンテ,牝3,54,鮫島克駿,1:09.1,3/4,12.0,6,424(0),[西] 奥村豊
9,10,7,14,ブラヴィーノ,牡3,56,藤岡康太,1:09.3,1.1/4,259.4,14,436(-4),[西] 石坂公一
10,11,7,13,クレフ,牝3,54,藤懸貴志,1:09.3,ハナ,402.3,16,428(-2),[西] 平田修
11,12,1,1,スカイストーリー,牝3,54,和田竜二,1:09.4,1/2,178.7,13,468(-10),[西] 今野貞一
12,13,5,9,シゲルマンカイ,牝3,51,服部寿希,1:09.5,1/2,417.8,17,406(-8),[西] 服部利之
13,14,4,8,テイエムラトーヌ,牝3,54,藤岡佑介,1:09.6,3/4,32.4,8,412(-4),[西] 飯田雄三
14,15,2,3,クリノガイア,牝3,54,国分恭介,1:09.7,1/2,46.6,9,422(-4),[西] 大根田裕
15,16,1,2,マーブルファクター,牝3,52,松本大輝,1:09.7,クビ,83.3,12,486(+2),[西] 西園正都
16,17,4,7,カルミチャン,牝3,53,亀田温心,1:09.9,1.1/4,400.1,15,428(0),[西] 北出成人
