,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,2,2,マテンロウエール,牡4,57,横山典弘,1:46.3,,3.7,1,526(+6),[西] 松永幹夫
1,2,8,14,ジューンレインボー,牝3,52,富田暁,1:46.5,1.1/4,4.2,3,426(+8),[西] 武英智
2,3,3,4,インザオベーション,牝3,52,藤岡康太,1:46.5,クビ,4.0,2,460(+16),[西] 武幸四郎
3,4,4,7,パーサヴィアランス,牡3,54,団野大成,1:46.5,クビ,37.6,9,444(0),[西] 西村真幸
4,5,8,15,テーオーソロス,牡4,53,今村聖奈,1:47.0,3,9.3,5,462(0),[西] 宮徹
5,6,7,12,クーファイザナミ,牝5,55,田中勝春,1:47.1,1/2,39.4,11,418(0),[東] 小手川準
6,7,5,8,ミッキーフローガ,牡3,54,松山弘平,1:47.2,クビ,8.8,4,466(+6),[西] 池江泰寿
7,8,6,10,アールチャレンジ,牡3,54,川須栄彦,1:47.2,クビ,13.7,7,480(0),[西] 千田輝彦
8,9,5,9,ファンジオ,牡3,54,城戸義政,1:47.5,1.3/4,13.5,6,512(+4),[西] 藤岡健一
9,10,4,6,アクイール,牝4,55,幸英明,1:47.7,1,239.6,14,472(+4),[西] 高橋康之
10,11,7,13,アザル,牝4,52,角田大河,1:47.7,クビ,125.4,13,438(+4),[西] 本田優
11,12,6,11,テイクザワールド,牡3,54,北村友一,1:47.7,ハナ,89.4,12,442(-4),[西] 安田翔伍
12,13,1,1,ゴルトファルベン,牡5,55,松本大輝,1:47.8,クビ,30.6,8,492(-6),[西] 吉村圭司
13,14,2,3,スプリッツァー,牡5,53,永島まな,1:48.4,3.1/2,38.8,10,476(+8),[東] 菊沢隆徳
14,15,3,5,シュアーウィナー,牡4,57,岡田祥嗣,1:50.0,10,295.3,15,468(0),[西] 安田隆行
