,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,2,4,ジャズブルース,牡3,51,角田大河,1:45.4,,55.7,10.0,452(-4),[西] 吉村圭司
1,2,1,2,ハイエストポイント,牡4,53,今村聖奈,1:45.6,1.1/4,3.6,2.0,454(+2),[西] 鈴木孝志
2,3,1,1,スキピオ,牡4,57,幸英明,1:45.9,1.3/4,23.1,7.0,488(-8),[西] 浜田多実
3,4,4,8,ウナギノボリ,牡3,50,永島まな,1:45.9,クビ,8.1,5.0,466(+10),[西] 音無秀孝
4,5,8,15,パイプライナー,牡5,57,ホー,1:46.0,クビ,24.2,8.0,508(+2),[西] 杉山晴紀
5,6,5,9,ムーンリットナイト,牡3,54,和田竜二,1:46.1,1/2,5.6,3.0,496(+6),[西] 加用正
6,7,2,3,タイセイエピソード,牡3,54,松若風馬,1:46.5,2.1/2,11.8,6.0,472(+4),[西] 杉山晴紀
7,8,3,6,シャープレシオ,牡5,57,富田暁,1:46.7,1.1/4,330.0,14.0,468(-4),[西] 笹田和秀
8,9,6,11,セカンドエフォート,牡9,57,西村淳也,1:46.8,3/4,82.4,11.0,510(+4),[西] 村山明
9,10,4,7,ダノンフォーナイン,牡3,54,川田将雅,1:46.9,クビ,3.6,1.0,506(+4),[西] 音無秀孝
10,11,8,16,ロードドミニオン,セ5,57,川須栄彦,1:47.1,1.1/4,46.0,9.0,432(-6),[西] 畑端省吾
11,12,6,12,パワータイショウ,牡3,54,森裕太朗,1:48.1,6,262.9,13.0,506(-2),[西] 村山明
12,13,5,10,キュートヴィラン,牝3,52,北村友一,1:48.1,アタマ,5.9,4.0,474(-4),[西] 四位洋文
13,14,7,13,フロイング,牡4,57,小牧太,1:48.2,クビ,245.9,12.0,468(0),[西] 加用正
14,15,7,14,アストゥーリアス,牡5,55,小沢大仁,1:48.9,4,443.0,15.0,472(0),[西] 羽月友彦
15,除,3,5,ブラジリアンソング,牡3,52,松本大輝,,,---,,500(+4),[西] 池添学
