,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,7,12,クロデメニル,牝3,52,川田将雅,0:58.1,,8.4,5,490(+14),[西] 森秀行
1,2,4,6,フルールドネージュ,牝5,53,松本大輝,0:58.1,クビ,3.6,1,444(-2),[西] 鈴木孝志
2,3,3,3,ラインガルーダ,牡5,55,小沢大仁,0:58.3,1,4.8,2,468(+4),[西] 松永昌博
3,4,8,14,フチサンメルチャン,牡5,57,小牧太,0:58.5,1.1/4,45.5,11,460(-10),[西] 服部利之
4,5,5,8,ビーアイフェリペ,牡4,57,ホー,0:58.6,3/4,11.0,6,518(+6),[西] 新谷功一
5,6,1,1,ヨッシーフェイス,牡4,53,今村聖奈,0:58.6,アタマ,4.9,3,498(+2),[西] 寺島良
6,7,2,2,コパノミッキー,牡3,54,松若風馬,0:58.7,クビ,8.0,4,474(-13),[西] 村山明
7,8,7,11,オカリナ,牡5,57,鮫島良太,0:58.8,1/2,33.9,10,530(+2),[西] 宮徹
8,9,6,9,ミラクル,牝4,55,和田竜二,0:58.8,アタマ,50.3,12,456(+2),[西] 加用正
9,10,5,7,ワキノクイーン,牝4,55,団野大成,0:59.0,1.1/4,107.8,14,464(+10),[西] 宮本博
10,11,4,5,テオドラ,牝4,54,亀田温心,0:59.2,1.1/4,102.5,13,478(+10),[西] 北出成人
11,12,8,13,コウバコ,牝4,55,幸英明,0:59.2,クビ,15.8,7,492(+6),[西] 北出成人
12,13,6,10,ウェーブメジャー,牡4,57,藤岡康太,0:59.4,1.1/4,21.2,8,472(0),[西] 中尾秀正
13,14,3,4,スカリーワグ,牡4,53,永島まな,1:02.6,大,31.7,9,504(-16),[西] 藤原英昭
